,headline,date,snippet,source
0,Argentina's lithium producers hopeful as Fernandez set to take power,15/11/2019,"Orocobre Ltd's buildout of alithium project in South America's second project on ourtimeline,"" Lithium Americas Corp Executive ViceChairman",reuters
1,Russia's Putin warns Bolivia is on the brink of chaos,14/11/2019,"changes quickly in Latin America. Let's hope that common sense and lithium as areas for cooperation.Earlier on Thursday, Russian Deputy",reuters
2,'So much damage': Chile protests flare back up as reforms fall short,30/10/2019,"long boasted one of Latin America's most prosperous free-market-windowed Costanera Center, South America's tallest building, remained",reuters
3,Rio Tinto studying ways to produce lithium from waste rock at California mine,21/10/2019,"projects include Lithium Americas Corp , Standard Lithium Ltd is studying ways to extract lithium from waste rock at a mine it controls",reuters
4,"Evo or not, Bolivia faces uncharted waters ahead",19/10/2019,steered South America's poorest country through an unprecedented period into a global lithium producer have faced repeated delays and resistance,reuters
5,"REFILE-Evo or not, Bolivia faces uncharted waters ahead",19/10/2019,South America's poorest country through anunprecedented periodtaken office and his efforts to turn Bolivia into a globallithium,reuters
6,Explainer: Bolivia's 'Evo' - socialist icon or would-be dictator?,18/10/2019,"America, one of a wave of left-wing leaders who dominated the continent's economy, including gas and a nascent lithium sector.He faces",reuters
7,"EXPLAINER-Bolivia's ""Evo"": socialist icon or would-be dictator?",18/10/2019,"in Latin America, one of a wave ofleft-wing leaders who dominatedeconomy, including gas and a nascent lithium sector.He faces",reuters
8,CANADA STOCKS-TSX futures gain as oil prices recover,01/10/2019,"buyers for four planes whose leases had expired.Lithium Americas Corp Cauchari-Olaroz lithiumbrine project, a bullish move linked",reuters
9,"Lithium Americas boosts budget, production target for Argentina project",30/09/2019,By Ernest ScheyderSept 30 (Reuters) - Lithium Americas Corp-election next month.British Columbia-based Lithium Americas said,reuters
10,CANADA STOCKS-TSX futures slip on lower oil prices,25/09/2019,were down0.38%.TOP STORIESLithium Americas Corp has cut its budget,reuters
11,"Lithium Americas trims production target, budget for Nevada mine",25/09/2019,By Ernest ScheyderSept 25 (Reuters) - Lithium Americas Corp has cut pricing contract in the nearfuture.Lithium Americas also said,reuters
12,Miners push for U.S. Congress to vote on electric vehicle supply chain bills,23/09/2019,"to speed U.S. production of lithium and other metals for the burgeoning of lithium and consumer of copper.""We don't have great clarity",reuters
13,"Political turmoil, price freeze cast shadow on Argentina's Vaca Muerta",16/09/2019,"who specializes in the Latin America oil and gas sector, said Muerta and the country's lithium mining sector. Kezia McKeague",reuters
14,"Argentina opposition candidate Fernandez meets with mining companies, governors",26/08/2019,"Goldcorp and Galaxy Lithium America, attended the meeting, the coalition lithium mining sector, according to a press release about the meeting",reuters
15,"REFILE-UPDATE 2-Argentina opposition candidate Fernandez meets with mining companies, governors",26/08/2019,"and Galaxy Lithium America, attended themeeting, the coalition said forinvestments in the Vaca Muerta shale oil play and the country'slithium mining",reuters
16,CORRECTED-UPDATE 1-Argentina opposition candidate Fernandez meets with mining companies -sources,26/08/2019,", Posco and GalaxyLithium America, attended the meeting, the sources said, lithium, gold, and silver,one of the sources added.Fernandez also said",reuters
17,Deals of the day-Mergers and acquisitions,19/08/2019,"** Pilot Flying J, a top operator of travel centers in NorthAmerica inAsiana Airlines Inc.** China's Ganfeng Lithium said it hadcompleted",reuters
18,China's Ganfeng closes deal to raise stake in Argentina lithium project,18/08/2019,"partner in Cauchari-Olaroz is Toronto-listed LithiumAmericas Corp, whichBEIJING, Aug 18 (Reuters) - China's Ganfeng Lithiumsaid on Sunday",reuters
