idx,headline,date,snippet,source,headline_sentiment,snippet_sentiment
0,Chilean Lithium Miner Seen Profiting From `Explosive' EV Growth,09/10/2018,"SQM’s plans to increase lithium production capacity by almost 50% have proved more challenging than expected, CEO Patricio de Solminihac said in a statement as the company released 3Q earnings.",bloomberg,0.0|0.574|0.426|0.6369,0.0|0.866|0.134|0.4927
1,Lithium Giant SQM's Challenging Expansion to Hit 4Q Sales: CEO,22/11/2018,"Even the most experienced lithium producers struggle when it comes to ramping up supply, suggesting that many projects being touted by small companies will never be built, according to Banco Santander.",bloomberg,0.335|0.554|0.111|-0.6408,0.108|0.892|0.0|-0.3612
2,Lithium Giant's Wobble Shows Meeting Demand Growth Not So Easy,23/10/2018,Nutrien and Tianqi Lithium Corporation report Tianqi Lithium will buy 62.6m A shares of Sociedad Química y Minera de Chile S.A held by Nutrien for a consideration of $65 per share in cash.,bloomberg,0.3|0.51|0.189|-0.1338,0.0|0.864|0.136|0.5267
3,Tianqi Lithium Confirms Purchase Nutrien's SQM Stake for $65/Shr,17/05/2018,"Rio Tinto Group has dropped out of the bidding for a stake in Soc. Quimica & Minera de Chile SA, one of the world’s top lithium producers, as it pursues other ways to capitalize on the electric-car boom, people familiar with the matter said.",bloomberg,0.0|1.0|0.0|0.0,0.0|0.932|0.068|0.2263
4,Rio Is Said to Drop Pursuit of $5 Billion Stake in Lithium Miner,10/01/2018,"As the world’s third-largest lithium producer, Soc. Quimica & Minera de Chile SA is in a perfect spot to capitalize on burgeoning demand for advanced batteries.",bloomberg,0.149|0.851|0.0|-0.2732,0.053|0.745|0.202|0.6369
5,Lithium Dispute in Chilean Desert Hits Battery Supplier’s Bonds,22/06/2015,"Seven logistics properties in France, Germany, Netherlands and Spain sold to CBRE Global Investment Partners, Warburg-HIH says in statement today. * Sale of bundled properties from Warburg-HIH and TIAA CREF investor funds was managed by TH Real Estate * Rental space of 600,000 sqm",bloomberg,0.252|0.748|0.0|-0.4019,0.0|1.0|0.0|0.0
6,"TIAA-CREF, Warburg-HIH Sell EU350m European Logistics Portfolio",29/06/2015,"Soc. Quimica y Minera de Chile SA, Chile’s largest fertilizer company, fell the most in six months after Banchile-Citi recommended selling the stock on predictions that oversupply in the iodine market will cut profit.",bloomberg,0.0|1.0|0.0|0.0,0.057|0.815|0.128|0.3818
7,Lithium Dispute in Chilean Desert Hits Battery Supplier’s Bonds,22/06/2015,"Seven logistics properties in France, Germany, Netherlands and Spain sold to CBRE Global Investment Partners, Warburg-HIH says in statement today. * Sale of bundled properties from Warburg-HIH and TIAA CREF investor funds was managed by TH Real Estate * Rental space of 600,000 sqm",bloomberg,0.252|0.748|0.0|-0.4019,0.0|1.0|0.0|0.0
8,"TIAA-CREF, Warburg-HIH Sell EU350m European Logistics Portfolio",29/06/2015,"Rental vacancies in Australian mining towns are climbing faster than the national average, highlighting the risk of a “severe correction” as the resources industry slows, according to SQM Research Pty.",bloomberg,0.0|1.0|0.0|0.0,0.07|0.93|0.0|-0.2732
9,Rio Tinto's Buying Again: Expect an Unhappy Ending for Lithium,20/11/2017,The lithium industry is set to lose one of its key figures just as a nascent electric-car boom transforms the mineral from niche to mainstream status. That may be good news for Tesla Inc.,bloomberg,0.237|0.763|0.0|-0.4215,0.074|0.847|0.079|0.0516
