,headline,date,snippet,source,headline_sentiment,snippet_sentiment
0,RPT-Chilean lithium miner SQM dealt blow by environmental court ruling,28/12/2019,"Albemarle, both of which operate in the salt flats of the Atacama",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
1,Lithium miner SQM considering options after environmental court ruling,27/12/2019,"Albemarle, both of which operate in the salt flats of the Atacama",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
2,Chilean lithium miner SQM dealt blow by environmental court ruling,26/12/2019,"competitor Albemarle , both of which operate in the salt flats",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
3,Nemaska Lithium seeks creditor protection amid industry supply woes,23/12/2019,producer Albemarle Corp warned last month that challenging market,reuters,0.364|0.636|0.0|-0.4588,0.196|0.654|0.15|-0.128
4,RPT-COLUMN-Unexpected bump on the EV road hits battery metals: Andy Home,18/12/2019,", chiefexecutive of Albemarle Corp, the world's largest producer bullish on the long-term story.Albemarle forecasts lithium demand",reuters,0.0|1.0|0.0|0.0,0.091|0.909|0.0|-0.128
5,COLUMN-Unexpected bump on the EV road hits battery metals: Andy Home,18/12/2019,"back in 2017,"" according to Luke Kissam, chiefexecutive of Albemarle.Albemarle forecasts lithium demand to hit one million tonnesby 2025",reuters,0.0|1.0|0.0|0.0,0.077|0.923|0.0|-0.128
6,Australia's Mineral Resources flags lower lithium sale price at WA project,12/12/2019,Albemarle Corp haddecided to pause operations at the Wodgina Project due,reuters,0.18|0.82|0.0|-0.296,0.0|1.0|0.0|0.0
7,Albemarle CEO says long-term lithium demand remains 'robust',12/12/2019,"(Reuters) - Albemarle Corp, the world's largest lithium producer as shareholder anxiety about Albemarle and its peers has escalated in recent",reuters,0.176|0.824|0.0|-0.128,0.082|0.918|0.0|-0.1779
8,Chile eyes state-backed lithium push in far-flung salt flats,03/12/2019,Lithium giants Albemarle  and SQM  have,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
9,"Lithium miner SQM dodges impacts from Chile protests, hit by lower prices",21/11/2019,""" Albemarle, SQM´s top competitor and neighbor on Chile's Atacama salt flat",reuters,0.291|0.709|0.0|-0.4767,0.0|0.847|0.153|0.2023
10,Lithium producers hit by first big downturn of electric vehicle era,13/11/2019,"bruising for investors eager to help combat climate change.Albemarle.""Current market conditions are challenging,"" Luke Kissam, Albemarle's chief",reuters,0.0|1.0|0.0|0.0,0.111|0.648|0.241|0.4215
11,"Albemarle's lithium prowess questioned by analysts, dragging on shares",08/11/2019,"By Ernest Scheyder(Reuters) - Albemarle Corp's lithium business lithium than the EV industry needs this year, prompting Albemarle",reuters,0.132|0.66|0.208|0.2023,0.0|1.0|0.0|0.0
12,Albemarle warns of 'challenging' lithium market through next year,07/11/2019,By Ernest Scheyder(Reuters) - Albemarle Corp  Chief Executive Officer Luke Kissam told,reuters,0.149|0.851|0.0|-0.1027,0.0|1.0|0.0|0.0
13,Albemarle plans $100 million cost cuts to counter low prices,06/11/2019,"(Reuters) - Albemarle Corp said on Wednesday it had started a cost, but had not specified an amount.Albemarle did not provide any further",reuters,0.35|0.65|0.0|-0.5106,0.0|1.0|0.0|0.0
14,Albemarle targets over $100 mln in cost savings,06/11/2019,Nov 6 (Reuters) - Albemarle Corp said on Wednesdayit had started notspecified any amount.Albemarle did not provide additional,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
15,Livent CEO sees 'difficult environment' for lithium producers,06/11/2019,"primarily sells one specific type of the white metal, hydroxide. Albemarle  and Albemarle Corp  are the only lithium",reuters,0.263|0.737|0.0|-0.3612,0.0|1.0|0.0|0.0
16,DIARY-U.S. earnings week ahead,01/11/2019,Release 06-Nov-2019 AMC ALB Albemarle Corp Q3 2019 Albemarle Corp Earnings,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
17,Downturn in battery raw materials claims more Australian victims,01/11/2019,"outlook for demand. Major lithium producer Albemarle, which took control",reuters,0.244|0.756|0.0|-0.3774,0.143|0.857|0.0|-0.128
18,"Mineral Resources, Albemarle pause Wodgina output on weak lithium market",31/10/2019,"newly formed joint venture with Albemarle Corp had decided to pause concluded the sale of a 60% interest in Wodgina to Albemarle, said",reuters,0.244|0.756|0.0|-0.4404,0.0|0.875|0.125|0.4588
19,"LME to launch lithium committee including Tesla, Albemarle",29/10/2019,"Australia, BASF and Chile-focused Albemarle, the LME said. Demand for lithium launch.However, Albemarle, the biggest producer, has said",reuters,0.0|1.0|0.0|0.0,0.081|0.919|0.0|-0.128
20,LMEWEEK-LME's planned lithium committee to include Tesla and Albemarle,29/10/2019,and Albemarle.Lithium is used in batteries that power electric vehicles,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
21,"Stung by sliding prices, lithium industry pares back expansions",28/10/2019,"By Ernest Scheyder(Reuters) - Albemarle Corp, SQM and other lithium began, many U.S. shale companies are not profitable. Albemarle",reuters,0.0|1.0|0.0|0.0,0.124|0.876|0.0|-0.3412
