idx,headline,date,ticker,source
0,samsung display secures majority of panel orders for next-gen iphone,2020-05-27 05:27:00-04:00,alb,Kaggle
1,"samsung sdi, abb announce strategic microgrid commercial alliance",2015-03-25 06:17:00-04:00,alb,Kaggle
2,"update: mylan's us license for humira will begin on jul. 31, 2023 and will not be accelerated by amgen, samsung bioepis entry",2018-07-17 08:07:00-04:00,alb,Kaggle
3,"abbvie reports global resolution of humira patent disputes with samsung bioepis; deal provides non-exclusive license to samsung bioepis for humira-related ip in us, effective jun. 30, other markets on diff. dates",2018-04-05 08:07:00-04:00,alb,Kaggle
4,"biogen, samsung bioepis reach deal with abbvie for commercialization of imraldi in europe",2018-04-05 08:06:00-04:00,alb,Kaggle
5,acacia research shares spike to high of $4.90 following 8k filing showing agreement with samsung,2016-05-17 13:26:00-04:00,alb,Kaggle
6,acacia research subsidiary entered into a license agreement with samsung electronics,2016-05-17 13:23:00-04:00,alb,Kaggle
7,acacia announces settlement and patent license agreement with samsung ,2014-04-16 06:01:00-04:00,alb,Kaggle
8,acacia subsidiary enters into license agreement with samsung ,2013-09-03 06:03:00-04:00,alb,Kaggle
9,"adobe reports black friday online sales record of $3.34b; apple ipad, samsung 4k tvs top selling electronics",2016-11-26 12:15:00-05:00,alb,Kaggle
10,"update: kodak license participants also include adobe, samsung, huawei, shutterfly",2012-12-19 09:29:00-05:00,alb,Kaggle
11,apple's deadliest lawsuit has nothing to do with samsung or htc,2012-01-20 10:52:00-05:00,alb,Kaggle
12,audience down 15% on lower chip demand from samsung,2014-08-01 16:22:00-04:00,alb,Kaggle
13,hearing chip works reporting audience has samsung s5 contract,2014-04-02 10:45:00-04:00,alb,Kaggle
14,barron's recap: apple vs. samsung,2012-11-18 12:07:00-05:00,alb,Kaggle
15,samsung selects anadigics wifi front-end ics for galaxy note 10.1 ,2013-11-04 16:08:00-05:00,alb,Kaggle
16,"update: d.a. davidson reiterates neutral rating, raises pt on anadigics on samsung exposure",2013-02-11 10:59:00-05:00,alb,Kaggle
17,anadigics says powering new samsung galaxy express,2012-10-03 15:32:00-04:00,alb,Kaggle
18,anadigics' mmpa powers samsung galaxy s relay 4g ,2012-09-11 10:01:00-04:00,alb,Kaggle
19,aol hd launches on samsung smart tv and google tv   ,2011-10-28 11:03:00-04:00,alb,Kaggle
20,hearing samsung c&t considers purchase of apollo global management's parallel petroleum,2011-08-22 08:36:00-04:00,alb,Kaggle
21,who's insulated from the samsung gs7 whiff?,2016-03-15 10:45:00-04:00,alb,Kaggle
22,arm holdings announces long-term deal with samsung related to customers' visual experiences,2015-06-03 13:01:00-04:00,alb,Kaggle
23,traders in arm holdings attributing weakness to confirmation from samsung of intel chips in new galaxy tablet,2013-06-03 12:03:00-04:00,alb,Kaggle
24,arrowhead ceo comments on $4.5m alliance between unidym and samsung electronics   ,2010-12-09 08:40:00-05:00,alb,Kaggle
25,samsung offsetting recall costs by selling stakes in other tech companies,2016-09-19 11:09:00-04:00,alb,Kaggle
26,samsung to sell $681m stake in asml holding -dj,2016-09-08 06:40:00-04:00,alb,Kaggle
27,sources say samsung obtains processor orders for apple watch -digitimes,2015-01-09 06:21:00-05:00,alb,Kaggle
28,suppliers to samsung decline as jp morgan sees weaker momentum in galaxy 4,2013-06-07 12:09:00-04:00,alb,Kaggle
29,"samsung galaxy s4 smartphone includes chips from broadcom, qualcomm, atmel corp. and skyworks ",2013-04-26 14:37:00-04:00,alb,Kaggle
30,update: blaylock robert van raises pt to $9 on atmel corporation on samsung device ramp-up  ,2013-01-07 14:10:00-05:00,alb,Kaggle
31,"samsung selects atmel maxtouch s controller to power galaxy note's 10.1"" touchscreen",2012-09-11 08:07:00-04:00,alb,Kaggle
32,samsung's new tech is 133 times faster than 4g,2013-05-13 13:17:00-04:00,alb,Kaggle
33,"keybanc ahead of q1 results sees more favorable risk/reward in broadcom, cirrus logic, skyworks solutions given 'stabilizing iphone trends', 'better than expected demand for the samsung gs10', and 'pull-ins at huawei'",2019-04-11 10:38:00-04:00,alb,Kaggle
34,"3 stocks to play the trends in iphone, samsung galaxy inventories",2018-05-16 16:38:00-04:00,alb,Kaggle
35,toshiba demise could help nand chip competitors close gap with samsung,2017-04-13 11:42:00-04:00,alb,Kaggle
37,analyst: 3 chip makers put more gear in latest samsung phone,2015-03-10 07:15:00-04:00,alb,Kaggle
38,"ces 2018 concludes today, attendees include:  ford, on semiconductor, avnet, kodak, xperi, fitbit, garmin, gopro, roku, samsung, ringcentral, 3m, intel, skyworks solutions, and lattice semiconductor",2018-01-11 09:01:00-05:00,alb,Kaggle
39,"ces 2018 continues today, day 3 of 4: attendees include ford, on semiconductor, avnet, kodak, xperi, fitbit, garmin, gopro, roku, samsung, ringcentral, 3m, intel, skyworks solutions, and lattice semiconductor",2018-01-10 08:58:00-05:00,alb,Kaggle
40,"ces 2018 continues today, day 2 of 4: attendees include ford, on semiconductor, avnet, kodak, xperi, fitbit, garmin, gopro, roku, samsung, ringcentral, 3m, intel, skyworks solutions, and lattice semiconductor",2018-01-09 08:57:00-05:00,alb,Kaggle
41,"ces 2018 event begins today, day 1 of 4; attendees include ford, on semiconductor, avnet, kodak, xperi, fitbit, garmin, gopro, roku, samsung, ringcentral, 3m, and lattice semiconductor",2018-01-08 08:56:00-05:00,alb,Kaggle
42,hearing nikkei reporting samsung's c&t signed mou with alibaba related to increased cooperation in online sales of apparel,2015-09-17 13:13:00-04:00,alb,Kaggle
43,"early global news for thursday: groupon-ibm, samsung ssd, yahoo deal talk",2016-03-03 10:50:00-05:00,alb,Kaggle
44,mid-day market update: blackberry drops on samsung denial of acquisition interest; pilgrim's pride shares surge,2015-01-15 13:53:00-05:00,alb,Kaggle
45,blackberry shares spike to session highs as traders circulate questionable chatter of samsung interest; watch for near-term profit taking,2018-05-02 10:36:00-04:00,alb,Kaggle
46,"according to new data, the samsung s8 is no 'iphone killer' device",2017-05-13 09:39:00-04:00,alb,Kaggle
47,"gartner: apple now no. 1 in china, samsung losing global share",2015-05-29 10:41:00-04:00,alb,Kaggle
48,blackberry's new samsung tablet shows there are 'too many cooks in the kitchen',2015-03-16 14:27:00-04:00,alb,Kaggle
49,"samsung, blackberry announce worklife by blackberry, secusuite for samsung knox",2015-03-01 12:54:00-05:00,alb,Kaggle
50,apple need not worry about samsung's 'totally useless' acquisition,2015-02-20 06:56:00-05:00,alb,Kaggle
51,sec investigating options trading in blackberry ahead of reuters report of samsung talks -reuters,2015-02-06 05:27:00-05:00,alb,Kaggle
52,samsung co-ceo says will actively consider m&a when appropriate -reuters,2015-02-02 21:29:00-05:00,alb,Kaggle
53,blackberry shares spike higher; reuters issued correction to january 14 report of potential samsung interest,2015-01-23 09:28:00-05:00,alb,Kaggle
54,longbow research analyst: samsung-seagate buyout rumor is 'highly improbable',2015-01-22 13:12:00-05:00,alb,Kaggle
55,samsung electronics  still pursuing blackberry purchase -financial post,2015-01-21 19:10:00-05:00,alb,Kaggle
56,canaccord genuity analyst: blackberry-lg combination makes less sense than samsung rumor,2015-01-21 13:03:00-05:00,alb,Kaggle
57,samsung co-ceo says interested in partnership with blackberry to potentially use blackberry technology in samsung devices; not buy the company -dj,2015-01-19 07:23:00-05:00,alb,Kaggle
59,"blackberry & samsung deny takeover rumor, blackberry gains erased",2015-01-15 09:31:00-05:00,alb,Kaggle
60,why samsung acquiring blackberry would 'make strategic sense',2015-01-15 07:28:00-05:00,alb,Kaggle
61,blackberry shares fall 13% premarket on samsung denial of acquisition interest,2015-01-15 07:27:00-05:00,alb,Kaggle
62,update: samsung denies making offer for blackberry -yonhap,2015-01-15 04:50:00-05:00,alb,Kaggle
63,update: blackberry spikes 30% on samsung acquisition report; shares give back gains as talks denied,2015-01-14 16:04:00-05:00,alb,Kaggle
64,"update: samsung, blackberry executives reportedly met last week to discuss offer",2015-01-14 15:44:00-05:00,alb,Kaggle
65,"update: samsung proposed initial price range of $13.35-$15.49/blackberry share, accoridng to source",2015-01-14 15:43:00-05:00,alb,Kaggle
66,samsung approached blackberry regarding takeover deal -reuters,2015-01-14 15:42:00-05:00,alb,Kaggle
