idx,headline,date,source
1,Rio Tinto puts Serbia lithium mine on hold,2021-12-24T00:29:33Z,The Guardian
2,Britishvolt and Glencore to build plant capable of recycling lithium-ion batteries,2022-02-03T00:01:37Z,The Guardian
3,‘Gone ballistic’: lithium price rockets nearly 500% in a year amid electric vehicle rush,2022-02-09T02:34:17Z,The Guardian
4,Rio Tinto’s past casts a shadow over Serbia’s hopes of a lithium revolution,2021-11-19T04:00:24Z,The Guardian
5,In search of ‘Lithium Valley’: why energy companies see riches in the California desert,2021-09-27T10:00:37Z,The Guardian
6,Fitbit recalls 1.7m Ionic smartwatches because of ‘burn hazard’,2022-03-02T15:28:59Z,The Guardian
7,The rush to ‘go electric’ comes with a hidden cost: destructive lithium mining | Thea Riofrancos,2021-06-14T10:45:48Z,The Guardian
8,Britain’s electric dreams will never come true while China has a materials advantage | John Naughton,2022-07-09T15:00:09Z,The Guardian
9,Volt Rush by Henry Sanderson review – creating a clean energy world is possible,2022-07-17T06:00:30Z,The Guardian
10,Northvolt rolls out Europe’s first ‘gigafactory-era’ car battery,2021-12-29T13:01:53Z,The Guardian
11,A cut-and-paste attack on electric vehicle batteries and renewables is spanning the globe. But is it right? | Temperature Check,2022-03-30T22:30:30Z,The Guardian
12,UK flight schools hire instructors for electric aircraft as fuel prices bite,2022-06-21T16:02:57Z,The Guardian
13,UK manufacturers face higher costs as Ukraine crisis hits supply chains,2022-03-01T14:49:19Z,The Guardian
14,Here’s why Australia’s reliance on commodities is unhealthy | Satyajit Das,2022-06-13T17:30:23Z,The Guardian
15,‘Real beacon’: Australian company developing zinc-bromide battery technology lists for $285m,2021-11-25T08:00:04Z,The Guardian
16,Ship carrying luxury cars sinks near Azores Islands after burning for weeks,2022-03-02T14:49:26Z,The Guardian
17,Abandoned burning ship ‘had $400m cargo of luxury cars’,2022-02-21T19:23:19Z,The Guardian
18,The billionaire and the Bolivian train cemetery: bold epic Rare Earth Mettle,2021-11-02T08:35:56Z,The Guardian
19,Battery power: five innovations for cleaner,2021-11-26T09:00:24Z,The Guardian
20,UK must boost recycling of materials for green industries,2021-11-19T06:00:27Z,The Guardian
21,Lithium find in Cornwall spurs hopes of regeneration,2020-09-17T09:41:17Z,The Guardian
22,Indigenous tribes tried to block a car battery mine. But the courts stood in the way,2021-10-15T10:00:26Z,The Guardian
23,The Welsh-speaking pigeons of Languedoc | Brief letter,2021-06-15T17:31:03Z,The Guardian
24,Here’s how to solve the UK energy crisis for the long term – store more power,2022-01-10T06:00:42Z,The Guardian
25,Millions of electric car batteries will retire in the next decade. What happens to them?,2021-08-20T12:00:34Z,The Guardian
26,Electric cars touted to recharge Australian manufacturing sector,2022-02-07T16:30:19Z,The Guardian
27,Small investors pile in to crowdfunder to mine lithium in Cornwall,2020-10-13T19:03:14Z,The Guardian
28,Rare Earth Mettle review – secret deals and wordy debates,2021-11-17T12:15:31Z,The Guardian
29,"Grenfell Tower witnesses among people evacuated from fire in nearby block ",2022-06-21T11:31:17Z,The Guardian
30,Corrections and clarifications,2022-01-02T21:00:27Z,The Guardian
31,Afghanistan is facing a climate calamity – it’s time the world took notice | Shadi Khan Saif,2022-07-25T17:30:43Z,The Guardian
32,UK consortium enters race to build solid-state batteries for electric cars,2021-08-19T11:03:09Z,The Guardian
33,Breaking it down: how green is that luxury electric SUV?,2022-01-25T04:23:23Z,The Guardian
34,Corrections and clarifications,2021-11-23T21:00:26Z,The Guardian
35,Big Oil V the World review – how can these climate crisis deniers sleep at night?,2022-07-21T21:00:42Z,The Guardian
36,Man riding electric scooter dies after collision with cyclist in Perth,2022-05-04T05:52:46Z,The Guardian
37,Blow to UK battery industry hopes as Johnson Matthey halts research,2021-11-11T13:45:59Z,The Guardian
38,Labor needs to double the pace of its renewable energy rollout to meet 2030 emissions target. Can it be done?,2022-06-06T00:00:19Z,The Guardian
39,Carmakers face higher costs and supply issues as price of nickel soars,2022-03-08T17:52:15Z,The Guardian
40,‘Battery arms race’: how China has monopolised the electric vehicle industry,2021-11-25T14:03:45Z,The Guardian
41,‘False choice’: is deep-sea mining required for an electric vehicle revolution?,2021-09-28T06:00:01Z,The Guardian
42,E-scooters to be banned from TfL network over battery fire risk,2021-12-09T16:45:27Z,The Guardian
43,Sony to start electric car firm as it ‘explores a commercial launch’,2022-01-05T12:10:17Z,The Guardian
44,A new confidence: the east German economy finally gets a boom,2022-07-20T04:00:09Z,The Guardian
45,Rio Tinto warns Australia’s slow renewable energy rollout threatens fossil fuel phase out,2022-05-05T04:49:43Z,The Guardian
46,Mining holds the key to a green future – no wonder human rights activists are worried,2021-06-27T12:03:28Z,The Guardian
47,Nuclear fusion heat record a ‘huge step’ in quest for new energy source,2022-02-09T12:00:05Z,The Guardian
48,Fossil fuel cars make 'hundreds of times' more waste than electric cars,2021-03-01T06:00:16Z,The Guardian
49,Australia can swiftly end the climate wars and become a renewable superpower. Here’s how | Nicky Ison,2022-05-24T17:30:14Z,The Guardian
50,Net zero nuance: commentary on decarbonising the grid misses the mark on batteries and nuclear | Temperature Check,2022-06-30T01:16:06Z,The Guardian
51,Nissan to invest £13bn on speeding switch to electric cars,2021-11-29T10:29:19Z,The Guardian
52,UK government backs scheme for motorway cables to power lorries,2021-07-27T15:55:28Z,The Guardian
53,‘Deep-sea gold rush’ for rare metals could cause irreversible harm,2022-04-29T06:00:33Z,The Guardian
54,Battery failures like Johnson Matthey risk leaving British carmakers disconnected,2021-11-14T07:00:27Z,The Guardian
55,Is it time for cutting-edge tech to make your mower greener?,2022-04-17T23:09:41Z,The Guardian
56,Antihero to zero: VW rises from ‘dieselgate’ to lead charge on electric vehicles,2021-11-10T09:31:22Z,The Guardian
57,Volkswagen and Stellantis take financial hit amid chip shortage,2021-10-28T09:11:17Z,The Guardian
58,Record metals boom may threaten transition to green energy,2021-05-15T15:00:29Z,The Guardian
