headline,date,stock
34 Stocks Moving in Friday's Pre-Market Session,29/05/2020,ALB
"Deutsche Bank Maintains Hold on Albemarle, Raises Price Target to $80",28/05/2020,ALB
Shares of several basic material companies are trading higher in sympathy with the overall market as equities rally on coronavirus vaccine hopes as well as a pickup in economic activity as some US states reopen businesses.,26/05/2020,ALB
"Shares of several basic materials companies are trading higher amid market strength, potentially on economic optimism following earnings from some US retailers and as investors weigh reopening of US states.",20/05/2020,ALB
"Benzinga's Top Upgrades, Downgrades For May 12, 2020",12/05/2020,ALB
10 Biggest Price Target Changes For Tuesday,12/05/2020,ALB
"Goldman Sachs Downgrades Albemarle to Neutral, Lowers Price Target of $61",12/05/2020,ALB
"SunTrust Robinson Humphrey Maintains Hold on Albemarle, Lowers Price Target to $65",11/05/2020,ALB
"RBC Capital Maintains Sector Perform on Albemarle, Raises Price Target to $66",11/05/2020,ALB
"UBS Maintains Buy on Albemarle, Lowers Price Target to $90",07/05/2020,ALB
From Albemarle Earnings Conference Call: Top Priority Is To Maintain Dividend,07/05/2020,ALB
Albemarle shares are trading lower after the company reported worse-than-expected Q1 sales results.,06/05/2020,ALB
"Albemarle Sees Q2 Adj. EBITDA $140M-$190M, Sales $700M-$775M; Withdraws FY20 Guidance",06/05/2020,ALB
"Albemarle Q1 Adj. EPS $1.000 Beats $0.830 Estimate, Sales $739.000M Miss $762.330M Estimate",06/05/2020,ALB
"Earnings Scheduled For May 6, 2020",06/05/2020,ALB
"Benzinga's Top Upgrades, Downgrades For April 29, 2020",29/04/2020,ALB
3 ETFs For Tesla Earnings,29/04/2020,ALB
"Albemarle shares are trading lower after Loop Capital downgraded the stock from Buy to Sell and announced a price target of $48 per share. UPDATE: Shares have since reversed, now higher.",29/04/2020,ALB
"Loop Capital Downgrades Albemarle to Sell, Announces $48 Price Target",29/04/2020,ALB
"Albemarle Announces That Kent Masters Was Elected Chairman, President, And CEO",20/04/2020,ALB
"Deutsche Bank Maintains Hold on Albemarle, Raises Price Target to $68",16/04/2020,ALB
Shares of several material stocks are trading lower amid a warning that oil demand will reach a 25-year low. This has negative implications for industrial production and construction.,15/04/2020,ALB
Shares of several basic materials companies are trading lower amid overall market weakness. Equities are down for the sessions amid uncertainty surrounding the reopening of the economy.,13/04/2020,ALB
Shares of several basic material companies are trading higher amid overall market strength after the US Federal Reserve announced a further $2.3 trillion in financing programs to support the economy.,09/04/2020,ALB
"Citigroup Maintains Cautious on Albemarle, Lowers Price Target to $49",09/04/2020,ALB
"Shares of several basic material companies are trading higher amid optimism that coronavirus cases around the world are potentially easing. Global slowing cases could raise hopes of a sooner return to spending, economic activity and investment.",08/04/2020,ALB
"UBS Maintains Buy on Albemarle, Lowers Price Target to $98",08/04/2020,ALB
"BMO Capital Maintains Outperform on Albemarle, Lowers Price Target to $80",06/04/2020,ALB
"CFRA Downgrades Albemarle to Hold, Lowers Price Target to $70",03/04/2020,ALB
"Morgan Stanley Maintains Underweight on Albemarle, Lowers Price Target to $40",30/03/2020,ALB
"Wells Fargo Maintains Equal-Weight on Albemarle, Lowers Price Target to $68",27/03/2020,ALB
"Benzinga's Top Upgrades, Downgrades For March 26, 2020",26/03/2020,ALB
KeyBanc Initiates Coverage On Albemarle with Sector Weight Rating,26/03/2020,ALB
"Deutsche Bank Maintains Hold on Albemarle, Lowers Price Target to $62",25/03/2020,ALB
Stocks That Hit 52-Week Lows On Monday,23/03/2020,ALB
"UBS Maintains Buy on Albemarle, Lowers Price Target to $108",23/03/2020,ALB
25 Stocks Moving in Tuesday's Pre-Market Session,10/03/2020,ALB
"Shares of several basic materials companies are trading higher, rebounding from Monday's selloff. The basic materials space has been negatively impacted by the coronavirus outbreak, as the virus has disrupted economic activity globally.",10/03/2020,ALB
"Shares of several basic materials companies are trading lower amid the global coronavirus outbreak, which has disrupted economic growth and hampered the demand for basic materials.",09/03/2020,ALB
22 Basic Materials Stocks Moving In Monday's Pre-Market Session,09/03/2020,ALB
"Shares of several basic materials companies are trading lower as markets fall amid the continued spread of the coronavirus, which has weighed on global economic outlook, impacting stocks across sectors.",25/02/2020,ALB
Shares of several basic materials companies are trading lower as coronavirus cases surge outside of China. NOTE: The virus has raised fear of a global economic slowdown.,24/02/2020,ALB
21 Basic Materials Stocks Moving In Monday's Pre-Market Session,24/02/2020,ALB
"Oppenheimer Maintains Outperform on Albemarle, Raises Price Target to $116",21/02/2020,ALB
"SunTrust Robinson Humphrey Maintains Hold on Albemarle, Raises Price Target to $90",21/02/2020,ALB
"Deutsche Bank Maintains Hold on Albemarle, Raises Price Target to $96",21/02/2020,ALB
10 Biggest Price Target Changes For Friday,21/02/2020,ALB
"RBC Capital Maintains Sector Perform on Albemarle, Raises Price Target to $84",21/02/2020,ALB
6 Basic Materials Stocks Moving In Friday's Pre-Market Session,21/02/2020,ALB
"Wells Fargo Maintains Equal-Weight on Albemarle, Raises Price Target to $105",21/02/2020,ALB
Stocks That Hit 52-Week Highs On Thursday,20/02/2020,ALB
Albemarle shares are trading higher despite the company reporting worse-than-expected Q4 EPS and sales results.,20/02/2020,ALB
8 Basic Materials Stocks Moving In Thursday's Pre-Market Session,20/02/2020,ALB
Albemarle Corp Sees FY20 Adj. EPS $4.80-$5.10; Sales $3.48B-$3.53B,19/02/2020,ALB
