,headline,date,snippet,source
0,High Risk/High Reward Lithium Bet Drives Argentina Mining Surge,04/12/2018,"Albemarle Corp. agreed to pay $1.15 billion for a stake in a giant lithium mine in Australia, guaranteeing the biggest producer of the mineral greater access to a more refined form of the raw material that’s increasingly being used in electric-car batteries.",bloom
1,Supplying Lithium for the Electric Revolution Is Getting Harder,21/08/2017,Albemarle Corp. plunged the most in 18 months as the world’s largest lithium producer forecast disappointing earnings amid rising exploration costs and lower prices for the mineral used in electric-vehicle batteries.,bloom
2,Albemarle Drops Most on S&P 500 as Cost of Finding Lithium Rises,08/08/2017,"Lithium demand is surging, boosting shares of the companies linked to mining and manufacturing the light metal used in electric-car batteries.",bloom
3,Spare a Thought for the Flamingos as You Save the World,04/07/2016,"BASF SE agreed to acquire a metal-coatings business from U.S.-based Albemarle Corp. for about $3.2 billion, as the German company joins the throng of chemical makers currently pushing the volume of dealmaking to new heights.",bloom
4,BASF's Prudence Pays Off With Reasonable Albemarle Deal,17/06/2016,"Albemarle Corp. is exploring the potential sale of a surface-treatment division, according to people familiar with the matter, as it looks for ways to help pay down debt from its $6 billion acquisition of Rockwood Holdings Inc.",bloom
5,BASF Joins Chemical Deal Rush in $3.2 Billion Albemarle Unit Bid,17/06/2016,There's good news and bad news for the hedge fund manager.,bloom
6,Albemarle Said to Explore Sale of $3 Billion Treatment Business,13/05/2016,The race to supply lithium to the rechargeable batteries used in cell phones and electric cars is taking Soc. Quimica & Minera de Chile SA over the Andes as Argentina’s new government seeks to open up its reserves.,bloom
0,High Risk/High Reward Lithium Bet Drives Argentina Mining Surge,04/12/2018,"Albemarle Corp. agreed to pay $1.15 billion for a stake in a giant lithium mine in Australia, guaranteeing the biggest producer of the mineral greater access to a more refined form of the raw material that’s increasingly being used in electric-car batteries.",ft
1,Supplying Lithium for the Electric Revolution Is Getting Harder,21/08/2017,Albemarle Corp. plunged the most in 18 months as the world’s largest lithium producer forecast disappointing earnings amid rising exploration costs and lower prices for the mineral used in electric-vehicle batteries.,ft
2,Albemarle Drops Most on S&P 500 as Cost of Finding Lithium Rises,08/08/2017,"Lithium demand is surging, boosting shares of the companies linked to mining and manufacturing the light metal used in electric-car batteries.",ft
3,Spare a Thought for the Flamingos as You Save the World,04/07/2016,"BASF SE agreed to acquire a metal-coatings business from U.S.-based Albemarle Corp. for about $3.2 billion, as the German company joins the throng of chemical makers currently pushing the volume of dealmaking to new heights.",ft
4,BASF's Prudence Pays Off With Reasonable Albemarle Deal,17/06/2016,"Albemarle Corp. is exploring the potential sale of a surface-treatment division, according to people familiar with the matter, as it looks for ways to help pay down debt from its $6 billion acquisition of Rockwood Holdings Inc.",ft
5,BASF Joins Chemical Deal Rush in $3.2 Billion Albemarle Unit Bid,17/06/2016,There's good news and bad news for the hedge fund manager.,ft
6,Albemarle Said to Explore Sale of $3 Billion Treatment Business,13/05/2016,The race to supply lithium to the rechargeable batteries used in cell phones and electric cars is taking Soc. Quimica & Minera de Chile SA over the Andes as Argentina’s new government seeks to open up its reserves.,ft
7,Shares of lithium producers Albemarle and SQM rattled by gloomy forecast,27/02/2018,"Shares in US-listed Albemarle fell as much as 10 per cent, while those of rival SQM dropped 8 per cent after analysts at Morgan Stanley cautioned that the lithium price could plunge 45 per cent over the next four years.",ft
8,Speed read,23/05/2019,Lithium overload Chinese companies disrupted a market controlled by Chile’s SQM and Albemarle and FMC of the US,ft
9,Groups vie for Chile lithium project tender,17/04/2017,"The winning companies will be guaranteed 25 per cent of US producer Albemarle’s lithium production at the lowest cost available in the market, according to Eduardo Bitran, head of the country’s development agency Corfo, which allocates permits for production of lithium.",ft
10,Supply challenge energises lithium trade,06/01/2017,"The average price of lithium has jumped threefold since 2014 and gained 60 per cent last year, according to an index from London-based Benchmark Mineral Intelligence. Its rise has boosted the share prices of Albemarle and other large producers and smaller players such as Galaxy Resources.",ft
11,Sweet success,06/05/2017,"Elected to the Royal Society in 1685, two years later Sloane became a fellow of the Royal College of Physicians and voyaged to the Caribbean as physician to the Duke of Albemarle, the incoming governor of Jamaica.",ft
12,Tesla in stand-off over lithium supply for factory,16/12/2015,"Elon Musk, Tesla’s founder, has said the company will seek to use lithium from Nevada. The US’s only operation producing the metal — Albemarle’s Silver Peak mine — is based there.",ft
13,Meet Celia Pym — knitwear’s own ‘damage detective’,24/02/2018,The submitted piece? An Albemarle “Norwegian Sweater” (pictured left) that she picked up from Annemor Sundbo’s Ragpile collection in Norway.,ft
14,Tracking Tesla Lithium groups follow electric-car maker’s stops and starts,10/04/2018,"That was enough, say industry analysts, to cast a shadow over companies including Albemarle, the largest producer of the electric-car battery raw material, and Nemaska Lithium, which is developing a mining project in Canada.",ft
15,FMC eyes next-generation batteries in lithium producer Livent’s New York IPO,29/08/2018,"Shares in the world’s largest producer, Albemarle, have dropped 24 per cent year to date while Chile’s SQM is off by 27 per cent.",ft
16,Volta joins battle for battery breakthrough,11/01/2018,"Backed by Albemarle, one of the world’s largest lithium producers, and US utility Exelon, the fund’s ambition is to invest in those companies whose battery technologies will triumph in the global battle to dominate electric cars and energy storage.",ft
17,Buffett bets on lithium with extraction deal,21/01/2019,"producers in Chile and Australia. The only current US supply comes from the Silver Peak mine in Nevada, run by Albemarle.",ft
18,Powering the battery supply chain,23/05/2019,"After that the market was dominated by a cosy oligopoly known as the Big Three: SQM of Chile, which was controlled by the son-in-law of the country’s former dictator Augusto Pinochet, and US producers Albemarle and FMC. In 2015, Albemarle acquired rival US producer Rockwood and last year FMC...",ft
19,Miners plug into electric car story to win green investors,30/06/2017,"That has thrust miners such as Rio and Glencore, and lithium miners such as Albemarle on to investors’ radars. But Glencore is also a big miner of thermal coal, which most sustainable investors eschew. Rio is divesting from coal but still mines uranium, which is used in nuclear power.",ft
20,Rio Tinto hails ‘eureka moment’ after large lithium discovery in California,23/10/2019,"The only lithium produced in the US is extracted from brine in Silver Peak, Nevada, in a facility owned by producer Albemarle. But the company does not disclose how much is produced and analysts said it was not substantial.",ft
21,Trio of lithium IPOs will fuel debate on electric vehicles,30/08/2018,"The largest producers in Chile — Albemarle and SQM — have pledged to expand supply while a host of new mines are being developed, spanning Canada to Australia.",ft
22,Tianqi Lithium buys into Chile’s SQM,18/05/2018,"Tianqi already owns a 51 per cent stake in the Greenbushes mine in Australia, with US lithium producer Albemarle owning the rest. It also owns lithium assets in Sichuan and Tibet.",ft
23,BlackRock bets big on lithium’s electric-car future,16/09/2017,"Lithium production is currently dominated by four large players, Chile’s SQM, FMC, Albemarle and Tianqi Lithium. But a host of smaller companies are racing to bring supply to the market and get their material approved for use in batteries.",ft
24,Short View,18/01/2018,"The Solactive Global Lithium index not only has lithium makers such as US listed Albemarle and FMC Corp, it also contains car-makers Tesla and BYD.",ft
25,Evonik eyes takeover bid for Clariant,27/03/2015,acquisition of speciality chemical maker Taminco for $1.8bn. That followed Albemarle’s $6.2bn takeover of lithium specialist Rockwood.,ft
26,Europe’s big batteries push promises relief at last for investors,25/09/2019,"A strong European electric car market would also be a relief for investors, following falls in share prices for almost all companies involved in the battery supply chain this year — from battery materials producer Umicore, to cobalt miners such as Glencore, and lithium producers such as Albemarle.",ft
27,China’s ambitious investment push into Chile reflects shift in region’s political winds,26/02/2019,"It also required Tianqi to tell regulators about future lithium deals struck with SQM or Albemarle, its main rival, a sign of scepticism about the influence wielded by Chinese companies in critical industries.",ft
28,Lithium faces $5bn test as supplier stake sale electrifies buyer interest,17/02/2018,"Sociedad Química y Minera de Chile (SQM) accounts for more than 20 per cent of the world’s lithium supply, making it one of five companies that dominate the global market alongside China’s Ganfeng, Tianqi Lithium, FMC and Albemarle.",ft
29,Lithium bottlenecks threaten to fuel supercycle,09/06/2017,"The growing anxiety about supply comes as the production of lithium remains dominated by a handful of companies: Albemarle, Sociedad Química y Minera de Chile, and Chinese producers Tianqi Lithium and Ganfeng Lithium, which produce from Australia.",ft
30,Obama leaves a case of environmental whiplash for carmakers and Trump,10/12/2016,"One industry is quite happy with the climate-policy-based electric vehicle tilt: lithium mining and processing. Shares of Albemarle Corporation, which supplies 30 to 35 per cent of the raw material for lithium batteries, have more than doubled over the past year.",ft
31,Ready to roll,05/11/2016,"His favourite project is in the uplands of Albemarle County in the Piedmont region, between the James river and the Blue Ridge mountains.",ft
32,Batteries power Tianqi’s quest for lithium producer,29/09/2016,"Tianqi already produces lithium from the Greenbushes lithium mine in Australia, the other big source of lithium outside South America, in a joint venture with US producer Albemarle. This month, it announced plans to invest $300m in a lithium conversion facility in Australia.",ft
33,Investors grapple with the great resource shift,18/08/2016,"His fund has holdings in lithium miners Albemarle and FMC, battery material supplier Umicore, and carbon fibre maker Hexcel.",ft
34,Chile’s buried treasure,09/07/2016,"Almost all of the world’s lithium comes from just four countries — Chile, Australia, Argentina and China — while just four companies control most of the supply: Sociedad Química y Minera de Chile (SQM), a fertiliser producer that began mining lithium in the 1990s; two US producers, Albemarle and...",ft
35,CHILE’S BURIED TREASURE,09/07/2016,"Almost all of the world’s lithium comes from just four countries – Chile, Australia, Argentina and China – while just four companies control most of the world’s supply: Sociedad Química y Minera de Chile (SQM), a fertiliser producer that began mining lithium in the 1990s; two US producers, Albemarle...",ft
0,High Risk/High Reward Lithium Bet Drives Argentina Mining Surge,04/12/2018,"Albemarle Corp. agreed to pay $1.15 billion for a stake in a giant lithium mine in Australia, guaranteeing the biggest producer of the mineral greater access to a more refined form of the raw material that’s increasingly being used in electric-car batteries.",reuters
1,Supplying Lithium for the Electric Revolution Is Getting Harder,21/08/2017,Albemarle Corp. plunged the most in 18 months as the world’s largest lithium producer forecast disappointing earnings amid rising exploration costs and lower prices for the mineral used in electric-vehicle batteries.,reuters
2,Albemarle Drops Most on S&P 500 as Cost of Finding Lithium Rises,08/08/2017,"Lithium demand is surging, boosting shares of the companies linked to mining and manufacturing the light metal used in electric-car batteries.",reuters
3,Spare a Thought for the Flamingos as You Save the World,04/07/2016,"BASF SE agreed to acquire a metal-coatings business from U.S.-based Albemarle Corp. for about $3.2 billion, as the German company joins the throng of chemical makers currently pushing the volume of dealmaking to new heights.",reuters
4,BASF's Prudence Pays Off With Reasonable Albemarle Deal,17/06/2016,"Albemarle Corp. is exploring the potential sale of a surface-treatment division, according to people familiar with the matter, as it looks for ways to help pay down debt from its $6 billion acquisition of Rockwood Holdings Inc.",reuters
5,BASF Joins Chemical Deal Rush in $3.2 Billion Albemarle Unit Bid,17/06/2016,There's good news and bad news for the hedge fund manager.,reuters
6,Albemarle Said to Explore Sale of $3 Billion Treatment Business,13/05/2016,The race to supply lithium to the rechargeable batteries used in cell phones and electric cars is taking Soc. Quimica & Minera de Chile SA over the Andes as Argentina’s new government seeks to open up its reserves.,reuters
7,Shares of lithium producers Albemarle and SQM rattled by gloomy forecast,27/02/2018,"Shares in US-listed Albemarle fell as much as 10 per cent, while those of rival SQM dropped 8 per cent after analysts at Morgan Stanley cautioned that the lithium price could plunge 45 per cent over the next four years.",reuters
8,Speed read,23/05/2019,Lithium overload Chinese companies disrupted a market controlled by Chile’s SQM and Albemarle and FMC of the US,reuters
9,Groups vie for Chile lithium project tender,17/04/2017,"The winning companies will be guaranteed 25 per cent of US producer Albemarle’s lithium production at the lowest cost available in the market, according to Eduardo Bitran, head of the country’s development agency Corfo, which allocates permits for production of lithium.",reuters
10,Supply challenge energises lithium trade,06/01/2017,"The average price of lithium has jumped threefold since 2014 and gained 60 per cent last year, according to an index from London-based Benchmark Mineral Intelligence. Its rise has boosted the share prices of Albemarle and other large producers and smaller players such as Galaxy Resources.",reuters
11,Sweet success,06/05/2017,"Elected to the Royal Society in 1685, two years later Sloane became a fellow of the Royal College of Physicians and voyaged to the Caribbean as physician to the Duke of Albemarle, the incoming governor of Jamaica.",reuters
12,Tesla in stand-off over lithium supply for factory,16/12/2015,"Elon Musk, Tesla’s founder, has said the company will seek to use lithium from Nevada. The US’s only operation producing the metal — Albemarle’s Silver Peak mine — is based there.",reuters
