headline,date,stock
"Oppenheimer Maintains Outperform on EnerSys, Raises Price Target to $80",03/06/2020,ENS
"EnerSys Q4 Adj. EPS $1.11 Misses $1.18 Estimate, Sales $781.80M Beat $771.59M Estimate",01/06/2020,ENS
"5 Stocks To Watch For June 1, 2020",01/06/2020,ENS
"Earnings Scheduled For June 1, 2020",01/06/2020,ENS
EnerSys Q4 Sales $782.000M Down From $796.600M YoY,21/04/2020,ENS
"EnerSys Sees Prelim. Q4 Sales ~$782M vs $759.3M Estimate, Gross Profit $195M",21/04/2020,ENS
"Sidoti & Co. Maintains Buy on EnerSys, Lowers Price Target to $93",27/03/2020,ENS
EnerSys Announces It Suspended Its Q4 and FY20 Guidance Due To Coronavirus,24/03/2020,ENS
Stocks That Hit 52-Week Lows On Thursday,12/03/2020,ENS
"Shares of several companies in the broader industrial sector including construction, shipping, defense and others, are trading lower as equities sell off. The global coronavirus outbreak has weakened economic outlook and negatively impacted industrials.",12/03/2020,ENS
100 Biggest Movers From Yesterday,07/02/2020,ENS
74 Stocks Moving In Thursday's Mid-Day Session,06/02/2020,ENS
"Sidoti & Co. Maintains Buy on EnerSys, Raises Price Target to $102",06/02/2020,ENS
44 Stocks Moving in Thursday's Pre-Market Session,06/02/2020,ENS
19 Stocks Moving In Wednesday's After Hours,05/02/2020,ENS
EnerSys shares are trading lower after the company reported worse-than-expected Q3 EPS and sales results.,05/02/2020,ENS
"EnerSys Q3 Adj. EPS $1.04 Misses $1.13 Estimate, Sales $763.7M Miss $785.75M Estimate",05/02/2020,ENS
"Earnings Scheduled For February 5, 2020",05/02/2020,ENS
EnerSys Announces The Closing Of Its Private Offering Of $300 Million,11/12/2019,ENS
"EnerSys Q2 EPS $1.23 Beats $1.19 Estimate, Sales $762.1M Beat $759.59M Estimate",06/11/2019,ENS
"Earnings Scheduled For November 6, 2019",06/11/2019,ENS
45 Biggest Movers From Friday,23/09/2019,ENS
36 Stocks Moving In Friday's Mid-Day Session,20/09/2019,ENS
"EnerSys Reports Purchase Of NorthStar Battery Co. From Altor Fund II For $78M In Cash, Assumption Of $104.5M In Debt",19/09/2019,ENS
"Enersys Reports Fire At Its Richmond, Kentucky Production Facility",19/09/2019,ENS
"Earnings Scheduled For August 7, 2019",07/08/2019,ENS
Shares of many technology companies are trading lower with the overall market following news President Trump will impose a 5% tariff on goods from Mexico.,31/05/2019,ENS
"EnerSys Q4 Earnings Confirms Previously-Released Prelim Guidance; Q4 Adj. EPS $1.43 Beats $1.41 Estimate, Sales $796.6M Miss $817.5M Estimate",29/05/2019,ENS
EnerSys Sees Q1 Adj. EPS $1.30-$1.34 vs $1.47 Estimate,16/05/2019,ENS
"EnerSys Q4 Adj. EPS $1.43 Beats $1.41 Estimate, Sales $796.6M Miss $817.5M Estimate",16/05/2019,ENS
"EnerSys 8-K Shows Board Approved Plan To Close Targovishte, Bulgaria Plant; Sees ~$32M Pre-Tax Charge Related To Closing",06/03/2019,ENS
72 Biggest Movers From Yesterday,08/02/2019,ENS
54 Stocks Moving In Thursday's Mid-Day Session,07/02/2019,ENS
"EnerSys Q3 EPS $1.17 Misses $1.25 Estimate, Sales $680M Miss $685.85M Estimate",06/02/2019,ENS
"Earnings Scheduled For February 6, 2019",06/02/2019,ENS
EnerSys shares are trading higher after William Blair upgraded from Market Perform To Outperform.,21/12/2018,ENS
"Benzinga's Top Upgrades, Downgrades For December 21, 2018",21/12/2018,ENS
William Blair Upgrades EnerSys to Outperform,21/12/2018,ENS
"Stocks That Will Be Trading Ex Dividend Thurs., Dec. 13, 2018",12/12/2018,ENS
"Enersys Common Stock Q2 Adj. EPS $1.17 Beats $1.16 Estimate, Sales $660.5M Beat $659.11M Estimate",07/11/2018,ENS
"Earnings Scheduled For November 7, 2018",07/11/2018,ENS
EnerSys Reports Purchase Of Alpha Technologies Group Of Cos. For $750M,29/10/2018,ENS
EnerSys To Buy Alpha Group For $750M,29/10/2018,ENS
"Stocks Which Set New 52-Week High Yesterday, October 4th",05/10/2018,ENS
"Stocks Which Set New 52-Week High Yesterday, October 3rd",04/10/2018,ENS
10 Biggest Price Target Changes For Thursday,04/10/2018,ENS
"Sidoti & Co. Maintains Buy on EnerSys, Raises Price Target to $104",04/10/2018,ENS
"Oppenheimer Maintains Outperform on EnerSys, Raises Price Target to $95",04/10/2018,ENS
"Stocks Which Set New 52-Week High Yesterday, October 1st",02/10/2018,ENS
"Stocks Which Set New 52-Week High Yesterday, September 26th",27/09/2018,ENS
"Stocks Which Set New 52-Week High Yesterday, September 25th",26/09/2018,ENS
"Stocks Which Set New 52-Week High Yesterday, September 17th",18/09/2018,ENS
"Stocks Which Set New 52-Week High Friday, September 14th",17/09/2018,ENS
"Stocks Which Set New 52-Week High Yesterday, September 13th",14/09/2018,ENS
"Stocks Trading Ex Dividend For Thurs., Sep. 13, 2018",14/09/2018,ENS
"Stocks Which Set New 52-Week High Yesterday, September 12",13/09/2018,ENS
