date,headline,sentiment__polarity
11/12/2019,EnerSys Announces Closing of Private Offering of $300 Million Aggregate Principal Amount of Senior Notes,0.93
05/12/2019,EnerSys Announces Proposed Private Offering of $300 Million Aggregate Principal Amount of Senior Notes,0.93
06/11/2019,EnerSys Reports Second Quarter Fiscal 2020 Results,0.996
06/11/2019,EnerSys Announces Quarterly Dividend,0.98
16/10/2019,EnerSys Announces Second Quarter Fiscal 2020 Results Conference Call,0.96
19/09/2019,EnerSys Announces Agreement to Acquire NorthStar Battery Company from Altor Fund II,0.998
19/09/2019,"EnerSys Reports Fire at its Richmond, Kentucky Production Facility",0.959
11/09/2019,EnerSys to Hold Investor Day at the New York Stock Exchange,0.986
07/08/2019,EnerSys Announces Quarterly Dividend,0.98
07/08/2019,EnerSys Reports First Quarter Fiscal 2020 Results,0.995
17/07/2019,EnerSys Announces First Quarter Fiscal 2020 Results Conference Call,0.956
11/06/2019,EnerSys Announces Plans to Expand TPPL Capacity and Commercialize GreenSeal® Bi-Polar Battery Technology,0.991
29/05/2019,EnerSys Reports Fourth Quarter and Full Year Fiscal 2019 Results,1
16/05/2019,EnerSys Announces Quarterly Dividend,0.98
16/05/2019,EnerSys Reports Preliminary Fourth Quarter and Full Year Fiscal 2019 Results,0.998
06/05/2019,"Market Trends Toward New Normal in Enersys, Globalstar, STERIS plc, and Enova International — Emerging Consolidated Expectations, Analyst Ratings",0.994
01/05/2019,EnerSys Announces Dates for Preliminary Fourth Quarter Fiscal 2019 Results and Investor Conference Call,0.956
06/02/2019,EnerSys Announces Quarterly Dividend,0.98
06/02/2019,EnerSys Reports Third Quarter Fiscal 2019 Results,0.999
16/01/2019,EnerSys Announces Third Quarter Fiscal 2019 Results Conference Call,0.949
08/01/2019,"New Research: Key Drivers of Growth for MDU Resources Group, Enersys, Sally Beauty, Par Pacific, Golub Capital BDC, and ZAGG — Factors of Influence, Major Initiatives and Sustained Production",0.998
10/12/2018,EnerSys Completes Acquisition of the Alpha Technologies Group of Companies,0.998
07/11/2018,EnerSys Announces Quarterly Dividend,0.979
07/11/2018,EnerSys Reports Second Quarter Fiscal 2019 Results,0.996
05/11/2018,"EnerSys CEO David M. Shaffer to Present at Baird 2018 Global Industrial Conference on November 6, 2018, in Chicago",0.923
02/11/2018,"Market Trends Toward New Normal in Enersys, Benchmark Electronics, Chegg, Century Communities, Mercury General, and Digimarc — Emerging Consolidated Expectations, Analyst Ratings",0.995
01/11/2018,"EnerSys® Products Now Part of Toyota Material Handling, U.S.A.’s STARLIFT Parts Program",0.995
29/10/2018,"EnerSys Announces Agreement to Acquire the Alpha Technologies Group of Companies, Creating the Only Complete Power Solution Provider for Broadband, Telecom and Energy Storage Systems",0.999
12/10/2018,"New Research Coverage Highlights MasTec, Conn's, DTE Energy, Enersys, Alliant Energy, and Helix Energy — Consolidated Revenues, Company Growth, and Expectations for 2018",0.998
10/10/2018,EnerSys Announces Second Quarter Fiscal 2019 Results Conference Call,0.949
23/08/2018,EnerSys® Makes Significant Investment in Advanced Munitions Batteries Manufacturing Facilities,0.994
08/08/2018,EnerSys Announces Quarterly Dividend,0.979
08/08/2018,EnerSys Reports First Quarter Fiscal 2019 Results,0.995
03/08/2018,"Report: Exploring Fundamental Drivers Behind Cal-Maine Foods, Enersys, Progress Software, Carvana, SendGrid, and Armada Hoffler Properties — New Horizons, Emerging Trends, and Upcoming Developments",0.998
18/07/2018,EnerSys Announces First Quarter Fiscal 2019 Results Conference Call,0.951
30/05/2018,EnerSys Reports Fourth Quarter and Full Year Fiscal 2018 Results,0.997
16/05/2018,EnerSys Announces Quarterly Dividend,0.979
16/05/2018,EnerSys Reports Preliminary Fourth Quarter and Full Year Fiscal 2018 Results,0.998
03/05/2018,"EnerSys CEO David M. Shaffer to Present at Oppenheimer Industrial Conference on May 8, 2018, in New York City",0.941
02/05/2018,EnerSys Announces Dates for Preliminary Fourth Quarter Fiscal 2018 Results and Investor Conference Call,0.957
26/04/2018,"Research Report Identifies Bridgepoint Education, SunCoke Energy, Ryerson Holding, Enersys, Global Brass and Copper, and Mobile Mini with Renewed Outlook — Fundamental Analysis, Calculating Forward Movement",0.997
23/04/2018,EnerSys Announces New Global Technology Center,0.991
27/02/2018,"Research Report Identifies Insteel Industries, First Cash, Integra LifeSciences, Vishay Precision Group, Cambrex, and Enersys with Renewed Outlook — Fundamental Analysis, Calculating Forward Movement",0.995
07/02/2018,EnerSys Announces Quarterly Dividend,0.979
07/02/2018,EnerSys Reports Third Quarter Fiscal 2018 Results,0.998
17/01/2018,EnerSys Announces Third Quarter Fiscal 2018 Results Conference Call,0.949
20/12/2017,"Analysis: Positioning to Benefit within Cambrex, Enersys, Esterline Technologies, Lsb Industries, Atkore International Group, and Virtusa — Research Highlights Growth, Revenue, and Consolidated Results",0.995
08/11/2017,EnerSys Reports Second Quarter Fiscal 2018 Results,0.996
08/11/2017,EnerSys Announces Stock Repurchase Authorization and Quarterly Dividend,0.98
18/10/2017,EnerSys Announces Second Quarter Fiscal 2018 Results Conference Call,0.957
09/08/2017,EnerSys Announces Stock Repurchase Authorization and Quarterly Dividend,0.972
09/08/2017,EnerSys Reports First Quarter Fiscal 2018 Results,0.995
18/07/2017,EnerSys Announces First Quarter Fiscal 2018 Results Conference Call,0.957
10/07/2017,EnerSys Appoints Two New Members to its Board of Directors,0.994
13/06/2017,EnerSys Announces $60M in New Global Space Business,0.992
