,headline,date,snippet,source
0,Lithium Giant SQM's Challenging Expansion to Hit 4Q Sales: CEO,22/11/2018,"Even the most experienced lithium producers struggle when it comes to ramping up supply, suggesting that many projects being touted by small companies will never be built, according to Banco Santander.",bloom
1,Tianqi Lithium Confirms Purchase Nutrien's SQM Stake for $65/Shr,17/05/2018,"Rio Tinto Group has dropped out of the bidding for a stake in Soc. Quimica & Minera de Chile SA, one of the world’s top lithium producers, as it pursues other ways to capitalize on the electric-car boom, people familiar with the matter said.",bloom
2,Julio Ponce Resigns From Boards of Chile’s SQM Holding Cos.,09/09/2015,Electric-car demand and tight supplies will drive prices higher.,bloom
3,Israel Chemicals Says Chile Miner SQM a ‘Good Fit’,20/03/2015,"Rockwood Holdings Inc., the world’s largest producer of lithium products, may become a takeover target after agreeing to sell almost $4 billion of businesses this year.",bloom
4,Global Lithium Supply May See `Tightness' on SQM Delay: Livent,06/11/2018,Mining lithium and copper to supply the battery boom and fight climate change is wrecking a fragile ecosystem in Chile.,bloom
5,Tianqi Clears Legal Hurdle in Purchase of $4.1 Billion SQM Stake,25/10/2018,Renaissance Technologies LLC boosted its stake in lithium giant Soc. Quimica & Minera de Chile SA before the Santiago-based company was cleared by the government to crank up output.,bloom
6,Renaissance Technologies Increases Stake in Lithium Producer SQM,13/02/2018,Chilean stocks have risen to record highs on anticipation that former President Sebastian Pinera will return to power and usher in a golden period of growth and prosperity. He has his work cut out for him.,bloom
7,SQM Beats Profit Estimates as Cutbacks Blunt Fertilizer Slowdown,25/08/2015,"The Chilean company makes lithium for rechargeable batteries, but most of its profit comes from potassium products and fertilizers.",bloom
8,China’s Tianqi Lithium Proposes Deal for Stake in Rival SQM,09/09/2016,The race to supply lithium to the rechargeable batteries used in cell phones and electric cars is taking Soc. Quimica & Minera de Chile SA over the Andes as Argentina’s new government seeks to open up its reserves.,bloom
9,Lithium Boom Takes Chile's SQM Across Andes in Argentine Venture,28/03/2016,"Billionaire Lang Walker, founder of one of Australia’s largest closely held developers, said that home prices in Sydney and Melbourne have climbed too much, and he is turning his focus to his investment in Malaysia.",bloom
10,SQM’s Ponce Steps Down as Chairman; Potash Elects Directors,22/04/2015,Potash Corp. of Saskatchewan Inc. has the best chance in seven years of taking over Soc. Quimica & Minera de Chile SA as a stock slump and trading probe threaten to loosen the chairman’s grip on the fertilizer maker.,bloom
11,Australia Court Recommends No Exemptions to Lithium Project: SQM,12/09/2018,"Chile’s political and business elites are breathing a sigh of relief after final rulings on major corruption cases. For some, though, the authorities have merely papered over the problem.",bloom
12,Lithium Giant SQM Surges as Shareholder Puts Stake Up for Sale,18/12/2015,"Soc. Quimica y Minera de Chile SA, the country’s largest fertilizer producer, fell the most in five years after Russia’s OAO Uralkali said it would abandon a cartel that underpinned prices for a principal ingredient.",bloom
13,Chile Opening New Flank in Battle With Chemicals Giant SQM,07/06/2016,"Howard Kindler, 57, dipped into his pension to turn property investor, spending a third of his retirement savings and taking out a mortgage to buy a Melbourne apartment.",bloom
14,Tianqi’s Search for Lithium Sources Sends Chile’s SQM Soaring,26/09/2016,"Soc. Quimica y Minera de Chile SA, the country’s largest fertilizer producer, fell to the lowest in five years after the company reported a bigger-than-expected drop in profit as potash prices slumped.",bloom
15,SQM CEO Ousted After Board Clash in Chile Probe; Shares Fall,17/03/2015,Sociedad Quimica & Minera de Chile rose the most in more than three months today after China’s Tianqi Lithium Industries Inc. said it had acquired a stake in the world’s second-largest producer of lithium.,bloom
16,Tianqi’s Search for Lithium Sources Sends Chile’s SQM Soaring,26/09/2016,"Howard Kindler, 57, dipped into his pension to turn property investor, spending a third of his retirement savings and taking out a mortgage to buy a Melbourne apartment.",bloom
17,Lithium Mogul Opens Door to SQM Exit as Holdco Hires Adviser,13/11/2015,Chile’s benchmark IPSA posted its biggest monthly loss among the world’s major stock indexes amid tax concern and a tumble in the shares of fertilizer maker Soc. Quimica y Minera de Chile SA.,bloom
18,Lithium Giant SQM's Challenging Expansion to Hit 4Q Sales: CEO,22/11/2018,"Even the most experienced lithium producers struggle when it comes to ramping up supply, suggesting that many projects being touted by small companies will never be built, according to Banco Santander.",ft
19,Tianqi Lithium Confirms Purchase Nutrien's SQM Stake for $65/Shr,17/05/2018,"Rio Tinto Group has dropped out of the bidding for a stake in Soc. Quimica & Minera de Chile SA, one of the world’s top lithium producers, as it pursues other ways to capitalize on the electric-car boom, people familiar with the matter said.",ft
20,Julio Ponce Resigns From Boards of Chile’s SQM Holding Cos.,09/09/2015,Electric-car demand and tight supplies will drive prices higher.,ft
21,Israel Chemicals Says Chile Miner SQM a ‘Good Fit’,20/03/2015,"Rockwood Holdings Inc., the world’s largest producer of lithium products, may become a takeover target after agreeing to sell almost $4 billion of businesses this year.",ft
22,Global Lithium Supply May See `Tightness' on SQM Delay: Livent,06/11/2018,Mining lithium and copper to supply the battery boom and fight climate change is wrecking a fragile ecosystem in Chile.,ft
23,Tianqi Clears Legal Hurdle in Purchase of $4.1 Billion SQM Stake,25/10/2018,Renaissance Technologies LLC boosted its stake in lithium giant Soc. Quimica & Minera de Chile SA before the Santiago-based company was cleared by the government to crank up output.,ft
24,Renaissance Technologies Increases Stake in Lithium Producer SQM,13/02/2018,Chilean stocks have risen to record highs on anticipation that former President Sebastian Pinera will return to power and usher in a golden period of growth and prosperity. He has his work cut out for him.,ft
25,SQM Beats Profit Estimates as Cutbacks Blunt Fertilizer Slowdown,25/08/2015,"The Chilean company makes lithium for rechargeable batteries, but most of its profit comes from potassium products and fertilizers.",ft
26,China’s Tianqi Lithium Proposes Deal for Stake in Rival SQM,09/09/2016,The race to supply lithium to the rechargeable batteries used in cell phones and electric cars is taking Soc. Quimica & Minera de Chile SA over the Andes as Argentina’s new government seeks to open up its reserves.,ft
27,Lithium Boom Takes Chile's SQM Across Andes in Argentine Venture,28/03/2016,"Billionaire Lang Walker, founder of one of Australia’s largest closely held developers, said that home prices in Sydney and Melbourne have climbed too much, and he is turning his focus to his investment in Malaysia.",ft
28,SQM’s Ponce Steps Down as Chairman; Potash Elects Directors,22/04/2015,Potash Corp. of Saskatchewan Inc. has the best chance in seven years of taking over Soc. Quimica & Minera de Chile SA as a stock slump and trading probe threaten to loosen the chairman’s grip on the fertilizer maker.,ft
29,Australia Court Recommends No Exemptions to Lithium Project: SQM,12/09/2018,"Chile’s political and business elites are breathing a sigh of relief after final rulings on major corruption cases. For some, though, the authorities have merely papered over the problem.",ft
30,Lithium Giant SQM Surges as Shareholder Puts Stake Up for Sale,18/12/2015,"Soc. Quimica y Minera de Chile SA, the country’s largest fertilizer producer, fell the most in five years after Russia’s OAO Uralkali said it would abandon a cartel that underpinned prices for a principal ingredient.",ft
31,Chile Opening New Flank in Battle With Chemicals Giant SQM,07/06/2016,"Howard Kindler, 57, dipped into his pension to turn property investor, spending a third of his retirement savings and taking out a mortgage to buy a Melbourne apartment.",ft
32,Tianqi’s Search for Lithium Sources Sends Chile’s SQM Soaring,26/09/2016,"Soc. Quimica y Minera de Chile SA, the country’s largest fertilizer producer, fell to the lowest in five years after the company reported a bigger-than-expected drop in profit as potash prices slumped.",ft
33,SQM CEO Ousted After Board Clash in Chile Probe; Shares Fall,17/03/2015,Sociedad Quimica & Minera de Chile rose the most in more than three months today after China’s Tianqi Lithium Industries Inc. said it had acquired a stake in the world’s second-largest producer of lithium.,ft
34,Tianqi’s Search for Lithium Sources Sends Chile’s SQM Soaring,26/09/2016,"Howard Kindler, 57, dipped into his pension to turn property investor, spending a third of his retirement savings and taking out a mortgage to buy a Melbourne apartment.",ft
35,Lithium Mogul Opens Door to SQM Exit as Holdco Hires Adviser,13/11/2015,Chile’s benchmark IPSA posted its biggest monthly loss among the world’s major stock indexes amid tax concern and a tumble in the shares of fertilizer maker Soc. Quimica y Minera de Chile SA.,ft
36,Tesla locked in talks with Chile’s SQM over lithium investment,30/01/2018,"Tesla is in talks with Chile’s largest lithium producer SQM about investing in supplies of the battery material, as it ramps up production of its first mass-market electric car.",ft
37,Tianqi readies HK listing ahead of SQM deal,21/08/2018,"China’s biggest producer of lithium, the battery raw material, has chosen Morgan Stanley and CLSA for a listing in Hong Kong to fund its $4.07bn purchase of a stake in Chile’s SQM, according to a prospectus.",ft
38,Tianqi Lithium buys into Chile’s SQM,18/05/2018,"Shenzhen-listed Tianqi paid a 12 per cent premium for the SQM shares held by Canada’s Nutrien, which was required to sell as part of the merger between PotashCorp and Agrium that created it.",ft
39,Shares of lithium producers Albemarle and SQM rattled by gloomy forecast,27/02/2018,"Shares in US-listed Albemarle fell as much as 10 per cent, while those of rival SQM dropped 8 per cent after analysts at Morgan Stanley cautioned that the lithium price could plunge 45 per cent over the next four years.",ft
40,Lithium Giant SQM's Challenging Expansion to Hit 4Q Sales: CEO,22/11/2018,"Even the most experienced lithium producers struggle when it comes to ramping up supply, suggesting that many projects being touted by small companies will never be built, according to Banco Santander.",reuters
41,Tianqi Lithium Confirms Purchase Nutrien's SQM Stake for $65/Shr,17/05/2018,"Rio Tinto Group has dropped out of the bidding for a stake in Soc. Quimica & Minera de Chile SA, one of the world’s top lithium producers, as it pursues other ways to capitalize on the electric-car boom, people familiar with the matter said.",reuters
42,Julio Ponce Resigns From Boards of Chile’s SQM Holding Cos.,09/09/2015,Electric-car demand and tight supplies will drive prices higher.,reuters
43,Israel Chemicals Says Chile Miner SQM a ‘Good Fit’,20/03/2015,"Rockwood Holdings Inc., the world’s largest producer of lithium products, may become a takeover target after agreeing to sell almost $4 billion of businesses this year.",reuters
44,Global Lithium Supply May See `Tightness' on SQM Delay: Livent,06/11/2018,Mining lithium and copper to supply the battery boom and fight climate change is wrecking a fragile ecosystem in Chile.,reuters
45,Tianqi Clears Legal Hurdle in Purchase of $4.1 Billion SQM Stake,25/10/2018,Renaissance Technologies LLC boosted its stake in lithium giant Soc. Quimica & Minera de Chile SA before the Santiago-based company was cleared by the government to crank up output.,reuters
46,Renaissance Technologies Increases Stake in Lithium Producer SQM,13/02/2018,Chilean stocks have risen to record highs on anticipation that former President Sebastian Pinera will return to power and usher in a golden period of growth and prosperity. He has his work cut out for him.,reuters
47,SQM Beats Profit Estimates as Cutbacks Blunt Fertilizer Slowdown,25/08/2015,"The Chilean company makes lithium for rechargeable batteries, but most of its profit comes from potassium products and fertilizers.",reuters
48,China’s Tianqi Lithium Proposes Deal for Stake in Rival SQM,09/09/2016,The race to supply lithium to the rechargeable batteries used in cell phones and electric cars is taking Soc. Quimica & Minera de Chile SA over the Andes as Argentina’s new government seeks to open up its reserves.,reuters
49,Lithium Boom Takes Chile's SQM Across Andes in Argentine Venture,28/03/2016,"Billionaire Lang Walker, founder of one of Australia’s largest closely held developers, said that home prices in Sydney and Melbourne have climbed too much, and he is turning his focus to his investment in Malaysia.",reuters
