,headline,date,snippet,source
0,Lithium producers hit by first big downturn of electric vehicle era,13/11/2019,"Corp , Tianqi Lithium Corp <002466.SZ> and othersBy Ernest ScheyderLOS ANGELES (Reuters) - The burgeoning lithium",reuters
1,"LME to launch lithium committee including Tesla, Albemarle",29/10/2019,"Land Rover, and lithium producers and processors Tianqi Lithium and users of lithium, a key component in electric car batteries, it said",reuters
2,LMEWEEK-LME's planned lithium committee to include Tesla and Albemarle,29/10/2019,"and lithium producersand processors Tianqi Lithium Australia, BASF of producers and users of lithium, a keyingredient in batteries",reuters
3,"Ganfeng Lithium third-quarter profits crash on lower prices, fair value loss",28/10/2019,lithium processing capacity in China. Its rival Tianqi Lithium Corp <By Tom DalyBEIJING (Reuters) - China's Ganfeng Lithium <002466.SZ,reuters
4,"Ganfeng Lithium Q3 profits crash on lower prices, fair value loss",28/10/2019,"in China.Its rival Tianqi Lithium Corp last week reportedits first net* Lithium producer posts Q3 profit of 33.4 mln yuan, -86.5%y/y",reuters
5,Tianqi Lithium has first loss in 5-1/2 years as lithium prices crash,22/10/2019,"BEIJING, Oct 22 (Reuters) - Tianqi Lithium Corp,one of the world's* Tianqi has loss of 53.9 mln yuan in Q3, first since Q12014",reuters
6,Tianqi Lithium in supply deal with Sweden's Northvolt,24/09/2019,"BEIJING (Reuters) - China's Tianqi Lithium Corp <002466.SZ battery maker Northvolt.Tianqi Lithium Kwinana, which recently launched",reuters
7,"Chile taps China, Japan in lithium-for-tech push; faces tough sell",17/09/2019,"in return for access to its lithium deposits, piquing interest from China, the world's No. 2 lithium producer, has held global road shows ahead",reuters
8,Tianqi starts lithium battery chemical production in Western Australia,11/09/2019,"MELBOURNE (Reuters) - China's Tianqi Lithium has begun production advantage of that,"" President of Tianqi Lithium Vivian Wu said",reuters
9,Slump in lithium prices hammers profits at China's Ganfeng,28/08/2019,Ganfeng's rival Tianqi Lithium <002466.SZ> reported an 85% plungeBy Tom DalyBEIJING (Reuters) - China's biggest lithium producer,reuters
10,"China's Tianqi Lithium first-half net profit slumps, clinches LG Chem supply deal",22/08/2019,"BEIJING (Reuters) - China's Tianqi Lithium Corp, one of the world's biggest lithium producers, said on Thursday its first-half net profit",reuters
11,"China's Tianqi Lithium H1 net profit slumps, clinches LG Chem supply deal",22/08/2019,"BEIJING, Aug 22 (Reuters) - China's Tianqi Lithium Corp, one to increase our profitability,"" said Tianqi.The company expects its lithium",reuters
12,Sweden seeks lithium tie-ups in South America amid 'white gold' rush,17/07/2019,"prices.In the region, China's Tianqi Lithium Corp <002466.SZ> has towards Peru and other South American countries for lithium tie-ups amid",reuters
13,METALS-Shanghai base metals rise as U.S.-China trade talks set to resume,19/06/2019,the plant.* TIANQI LITHIUM: Tianqi Lithium Corp said onTuesday it would,reuters
14,CORRECTED-METALS-Shanghai base metals rise on U.S.-China trade hopes,18/06/2019,earlier in the day.* Tianqi Lithium Corp said on Tuesday it would,reuters
