date,headline,sentiment.polarity
20/12/2019,Rock Tech Announces Private Placement,0.988
07/11/2019,Standard Lithium Announces Upcoming Event Participation,0.807
30/10/2019,Standard Lithium Secures C$5.0 Million Convertible Loan Financing,0.998
30/10/2019,Mark Beveridge joins Benchmark Mineral Intelligence from CRU as its electric vehicle supply chain strategy division grows,0.997
17/09/2019,Plateau Energy Metals Closes Private Placement,-0.69
16/09/2019,"Standard Lithium to Participate at Battery Next Summit in Boulder, CO on September 17, 2019",0.995
05/09/2019,"WILL PLUNKETT JOINS FROM ARGUS MEDIA AS BENCHMARK MINERALS RAMPS UP PRICE LICENSING FOR LITHIUM, COBALT, GRAPHITE, AND NICKEL",0.997
22/08/2019,"Element Global, Inc’s (ELGL) Subsidiary Element Global Mining Enterprises Announces Strategic Plan",0.954
21/08/2019,Ernst & Young Awards Highest IOSCO Assurance for Benchmark Minerals’ Lithium Prices,0.998
19/08/2019,Rock Tech Conducting Trade-off Study of Electricity Supply Options for Georgia Lake,0.973
15/08/2019,"Element Global, Inc.’s (ELGL) Subsidiary Clarinova to Start Mining Feasibility Study",0.8
12/08/2019,NRG Key Milestone with Filing of Preliminary Economic Assessment Report ( PEA ) for Hombre Muerto North Lithium Project,0.996
06/08/2019,Standard Lithium Files Preliminary Economic Assessment and Updated Mineral Resource Technical Report for Its Southern Arkansas Lithium Brine Project,0.948
06/08/2019,Standard Lithium Files Preliminary Economic Assessment and Updated Mineral Resource Technical Report for Its Southern Arkansas Lithium Brine Project,0.948
22/07/2019,Rock Tech Receives Data from KBM Resources Group for LiDAR Survey at Georgia Lake,0.966
18/07/2019,Plateau Energy Metals Announces Successful Metallurgical Program Results at its Falchani Lithium Project,0.898
17/07/2019,Roskill: Lithium prices to continue slide despite forecast supply disruptions and strong demand growth,0.966
10/07/2019,Rock Tech Announces Mobilization of Northern Bioscience for Initial Baseline Studies,0.97
08/07/2019,Rock Tech Engages Northern Bioscience for Environmental Assessment Baseline Studies,0.98
28/06/2019,Orocobre Limited – Change of Address,0.862
25/06/2019,Rock Tech Receives Results of Initial Leach Test from Georgia Lake Lithium Project,-0.894
17/06/2019,Rock Tech Engages KBM Resources Group for LiDAR Survey at Georgia Lake,0.976
12/06/2019,Rock Tech Covers Transportation Corridor Linking to Provincial Highway,0.969
10/06/2019,Roskill: recruitment of experienced battery technology and supply chain analyst further expands Shanghai office,0.832
10/06/2019,"Rock Tech’s Water Samples Confirm Excellent Water Quality, Meeting Provincial Water Quality Objectives",0.969
06/06/2019,Rock Tech Engages TBT Engineering Limited for Surface Water Sampling,0.948
06/06/2019,Enertopia Provides Positive Testing Results,0.998
04/06/2019,Benchmark Mineral Intelligence hires Albemarle Japan executive as it continues expansion of its Price Assessment division / ベンチマークミネラルに森　満博(元アルベマール)が加わりました,0.997
03/06/2019,Plateau Energy Metals Announces New Lithium Outcrop Discovery Six Kilometres West of Falchani Lithium Deposit,0.813
21/05/2019,QMC Reports 2.97% Li2O Over 1.22 Metres at Central Dike,0.987
14/05/2019,QMC Confirms Significant Spodumene Mineralization in Historical Drill Core,0.915
10/05/2019,"Roskill: Regulators, automakers, and battery manufacturers increasingly aligned for an electric future. Geographical competition remains uneven.",0.992
09/05/2019,Arena Minerals Increases Prospective Brine Field by 600% and Initiates Shallow Drill Program,0.946
25/04/2019,Rock Tech Selects EAG as Partner for Environmental Permitting at Georgia Lake,0.96
24/04/2019,"QMC Reports Lithium Assay Results to 2.79% Li2O From Mapetre, Central and Irgon West Dikes",0.967
24/04/2019,Plateau Energy Metals Files Technical Report for the Falchani Lithium Project,0.989
16/04/2019,Orocobre Limited Quarterly Report of Operations for the Period Ended 31 March 2019,1
16/04/2019,"QMC Drills 2,300 Metres at Irgon Lithium Mine Project",0.985
10/04/2019,Rock Tech Lithium Inc. Letter to Shareholders,0.996
10/04/2019,Benchmark Minerals hires SQM executive to expand its lithium and EV supply chain advisory team,0.997
09/04/2019,Rock Tech Closes Private Placement,0.921
03/04/2019,"Flux Power To Showcase Lithium-Ion Batteries for Electric Forklifts at ProMat 2019 Chicago, April 8 - 11",0.985
01/04/2019,Lomiko Metals Appoints Dean Nawata to the Board of Advisors,0.872
28/03/2019,Rock Tech Announces Private Placement,0.978
19/03/2019,LOMIKO COMPLETES DRILLING TO EXPAND LA LOUTRE HIGH-GRADE REFRACTORY ZONE AND REPORTS WIDE INTERCEPTS OF GRAPHITE IN MULTIPLE DRILL HOLES,0.986
19/03/2019,Arena Minerals Strengthens Board of Directors and Announces the Nomination of Eduardo Morales as Executive Chairman,0.995
12/03/2019,Nemaska Lithium Welcomes New Directors,0.983
11/03/2019,Plateau Energy Metals Creates Falchani Project Advisory Board,-0.142
08/03/2019,LSC Lithium Announces Results of Special Meeting of Securityholders,0.991
08/03/2019,Rock Tech Shareholders Approve All Motions at Annual General Meeting,0.768
07/03/2019,Plateau Energy Metals Announces Results of Annual and Special Meeting,0.998
04/03/2019,Plateau Energy Metals Increases Total Lithium Resources by More than 90%,0.927
28/02/2019,Nemaska Lithium Sends Lithium Hydroxide Monohydrate Samples to Several Potential Customers,0.942
27/02/2019,QMC Visualizes Spodumene as Diamond Drilling Continues at the Irgon Lithium Mine Project,0.973
25/02/2019,Sigma Granted Water License for Commercial Lithium Concentration Plant and Corporate Income Tax Exemptions,0.998
25/02/2019,Uptick Newswire Hosts Enertopia Corp. on the Stock Day Podcast to discuss the large scale Lithium Findings in Nevada,0.999
22/02/2019,Orocobre Limited reports first half net profit after tax of US$24 million,0.997
19/02/2019,QMC Mobilizes Diamond Drill to Irgon Lithium Mine Project,0.984
19/02/2019,"Enertopia Drills 262 Feet of 1,231 ppm Li from Clayton Valley",0.993
14/02/2019,Flux Power Continues Sales Ramp as Q2 Revenue Rose 126% to $2.7M and FY 2019 First Six Months Revenue Rose 236% Versus Last Year,0.999
08/02/2019,Key Process Equipment Delivered for the Lac Guéret Project,0.475
30/01/2019,Plateau Energy Metals Continues to Expand Falchani Lithium Deposit,0.695
28/01/2019,"Standard Lithium Announces Maiden Inferred Resource Of 802,000 Tonnes LCE At South-Western Arkansas Tetra Project",0.997
28/01/2019,"Standard Lithium Announces Maiden Inferred Resource Of 802,000 Tonnes LCE At South-Western Arkansas Tetra Project",0.997
22/01/2019,QMC to Initiate Process of Mineralogical Testing at Irgon Lithium Mine Project,0.977
18/01/2019,LSC Lithium Files Technical Report for Positive PEA for the Pozuelos-Pastos Grandes Project,0.998
16/01/2019,LOMIKO STARTS AWARENESS CAMPAIGN AT CONFERENCES IN VANCOUVER AND TORONTO TO HIGHLIGHT LA LOUTRE DRILLING CAMPAIGN,0.932
15/01/2019,LSC Lithium Enters Into Definitive Arrangement Agreement to be Acquired by Pluspetrol,1
11/01/2019,Streetwise Reports Examines Lithium Explorer's Expansion of North Carolina Properties by More Than 600 Acres,0.976
10/01/2019,"LSC Lithium Files Technical Report for Pozuelos With Measured and Indicated 1,678,000 Tonnes LCE at 505mg/l Li and Inferred 631,000 Tonnes LCE at 518mg/l Li",0.996
09/01/2019,QMC Receives Positive Results from the MMI Geochemical Orientation Survey Over the Irgon Dike; Two Additional Targets Identified,0.97
28/12/2018,Flux Continues Sales Ramp of Lithium-Ion Batteries for Forklifts and Airport Ground Support Equipment; Closes Initial Round of Private Placement,0.997
13/12/2018,"MGX Minerals Announces Drilling at Francisco Basin Lithium Project, Chile",0.985
06/12/2018,Arena Minerals Acquires Antofalla Minerals,0.992
05/12/2018,Mason Graphite Presents Its Updated Feasibility Study Economic Results for the Lac Guéret Graphite Project,0.971
04/12/2018,"LSC Announces Positive PEA Results of 20,000tpa Lithium Carbonate Operation From Pozuelos-Pastos Grandes Project",0.999
29/11/2018,"MGX Minerals Announces Mobilization for Drilling at Francisco Basin Lithium Project, Chile",0.976
28/11/2018,"MGX Minerals Announces Commencement of Drilling at Salinitas Lithium Project, Argentina",0.992
27/11/2018,"LSC Lithium Announces Pozuelos Updated Mineral Resource Measured and Indicated 1,678,000 Tonnes LCE at 505mg/l Li and Inferred 631,000 Tonnes LCE at 518mg/l Li",0.999
20/11/2018,Plateau Drills Over 330 Meters of Lithium Mineralization at Falchani,0.986
19/11/2018,LSC Lithium Announces Further High Grade and High Yield Pump Test Results on the Pozuelos-Pastos Grandes Project,0.998
16/11/2018,Plateau Energy Metals Provides General Update,0.982
15/11/2018,Arena Minerals Announces Strategic Lithium Brine Project Acquisition,0.992
13/11/2018,"Azincourt Energy Samples High-Grade Lithium Oxide (Li2O) at the Lithium One Project, Southeast Manitoba",0.997
13/11/2018,Pure Energy Minerals Executes Second Convertible Note Offering and Completes Option Payment,0.999
30/10/2018,"Azincourt Energy Samples High-Grade Li2O up to 3.83% at the Eagle Pegmatite, Lithium Two Project, Manitoba",0.996
30/10/2018,QMC Doubles Strike Length of Irgon Dike to 800 Metres,0.962
24/10/2018,"Azincourt Energy Commences Work Program at Escalera Urainum Project, Peru",0.997
18/10/2018,NetworkNewsAudio Announces Audio Press Release (APR) on QMC Quantum Minerals Corp. Set to Compete with Big Players on Smaller Scale,0.965
17/10/2018,NetworkNewsWire Announces Publication on Increased Demand and Market Changes Driving Growth for Canadian Lithium Explorers,0.992
16/10/2018,"MGX Minerals Announces Expanded Drill Program at Kibby Basin, Nevada Lithium Project; Additional Core Submitted for Assay Analysis",0.989
11/10/2018,NetworkNewsWire Announces Publication on EV’s Need for Indispensable Li-ion Battery Drives New Demand for Cobalt,0.982
10/10/2018,QMC Samples Over 4.15% Lithium Li2O,0.908
09/10/2018,Sigma Lithium Ships Battery Grade Lithium Concentrate Samples to Potential Long Term Off-Take Partners,0.995
09/10/2018,MGX Signs Definitive Agreement to Acquire Lithium Brine Projects in Chile – Permitting in Place to Commence Drill Program,0.994
08/10/2018,"MGX Minerals Completes Trenching at Salinitas Lithium Project, Salta Province, Argentina; Drills Targets Identified",0.987
