,headline,date,snippet,source
0,Lithium sector powered up by electric cars,27/07/2016,"The lithium market has received a boost after FMC planned to double its output of battery raw material lithium next year, in a sign the largest producers are increasing supply to meet demand from electric carmakers.",ft
1,Trio of lithium IPOs will fuel debate on electric vehicles,30/08/2018,Lithium’s usage in electric car batteries has made it one of the hottest commodities of the past few years.,ft
2,"Lithium price poised for recovery, says Tianqi boss",14/05/2019,"China’s lithium market is stabilising after a period of plummeting prices, says Vivian Wu, president of Tianqi Lithium, China’s largest producer of the raw material used in car batteries.",ft
3,Lithium bottlenecks threaten to fuel supercycle,09/06/2017,"A year ago, Tesla founder and chief executive Elon Musk quipped that lithium was only the “salt on the salad” for the batteries that are vital to the US company’s electric cars.",ft
4,FMC eyes next-generation batteries in lithium producer Livent’s New York IPO,29/08/2018,The New York listing of FMC Corp’s lithium business is poised to test appetite for the metal following the sell-off of this vital commodity in the manufacture of electric cars.,ft
5,Tianqi Lithium buys into Chile’s SQM,18/05/2018,"Tianqi Lithium has paid $4.07bn for a 24 per cent stake in Chilean rival Sociedad Química y Minera, further boosting China’s influence over the global supply chain for electric car batteries.",ft
6,BlackRock bets big on lithium’s electric-car future,16/09/2017,"BlackRock has emerged as a big backer of lithium start-ups, as the world’s largest asset manager bets on the widespread adoption of electric vehicles.",ft
7,Buffett bets on lithium with extraction deal,21/01/2019,"Warren Buffett’s Berkshire Hathaway has made a move into lithium, signing an agreement to allow extraction of the battery mineral from its geothermal wells in California.",ft
8,Charged atmosphere Ganfeng Lithium IPO tests investor appetite as oversupply dilutes electric car battery demand,01/10/2018,The initial public offering in Hong Kong this week of one of China’s biggest lithium producers will provide a test both of investor appetite for a metal that has been hailed as vital to the future of electric cars and a stock market hurt by global trade tensions.,ft
9,Lithium faces $5bn test as supplier stake sale electrifies buyer interest,17/02/2018,"When Canadian fertiliser company PotashCorp acquired shares in Chile’s SQM almost 20 years ago, the latter’s lithium business appeared an afterthought.",ft
10,Ganfeng Lithium expands into batteries as electric car stakes rise,07/07/2017,"Ganfeng Lithium, one of China’s fastest growing companies, is expanding into battery production as it seeks to prepare for the expected rapid growth in the country’s electric car market.",ft
11,Stalled market Lithium knocked by oversupply and cut in electric-vehicle subsidy,27/08/2019,"The rise of the electric car was once a boon for the lithium industry, which produces the critical raw material for all batteries used in the vehicles.",ft
12,Rio Tinto hails ‘eureka moment’ after large lithium discovery in California,23/10/2019,"Rio Tinto said it had found a potentially large source of lithium for electric car batteries while looking for gold in piles of waste rock in California, describing it as a “eureka moment” for the group.",ft
13,Rosatom lines up deal for Chile lithium stake,16/10/2019,Russia’s state-run nuclear group Rosatom has signed a preliminary agreement to buy up to 51 per cent of a Chilean lithium project in return for supplies of the mineral.,ft
14,Peru upbeat over lithium discovery but miners face challenge of excess supply,10/11/2018,"It has long been known that Latin America’s “lithium triangle” of northern Chile, northern Argentina and southern Bolivia contains some of the biggest deposits of the key electric vehicle battery ingredient on the planet, in the salt flats of the Andes and the Atacama Desert.",ft
15,Shares of lithium producers Albemarle and SQM rattled by gloomy forecast,27/02/2018,A warning from investment bank Morgan Stanley that new supply of lithium will swamp demand for a metal that has been prized for its role in electric car batteries sent shares in its two largest producers tumbling yesterday.,ft
16,LME looks at contract rollout for lithium,30/08/2017,"The London Metal Exchange is considering introducing a contract for lithium, which is in heavy demand because of its use in electric cars, as the 140-year-old group tries to reverse a fall in volumes.",ft
17,Tesla in stand-off over lithium supply for factory,16/12/2015,"The mile-long, so-called Gigafactory is expected to boost demand for lithium, the raw material used in the batteries that power most electric cars.",ft
18,Mitsui boosts Brazil’s lithium ambitions with deal to back Sigma mining project,06/04/2019,Brazil is set to emerge as a significant supplier of high-quality lithium — a raw material used in electric-car batteries — after one of the world’s biggest commodity traders agreed to back a new project in the country.,ft
19,Tesla locked in talks with Chile’s SQM over lithium investment,30/01/2018,"Tesla is in talks with Chile’s largest lithium producer SQM about investing in supplies of the battery material, as it ramps up production of its first mass-market electric car.",ft
20,Tracking Tesla Lithium groups follow electric-car maker’s stops and starts,10/04/2018,Lithium miners and the electric-battery makers that use the metal were already having a tricky year because of concern over excess supply.,ft
21,Groups vie for Chile lithium project tender,17/04/2017,"Chile is set to capitalise on the global demand for electric vehicles with companies from South Korea, China, Japan and Europe bidding on manufacturing projects tied to the country’s vast reserves of lithium, a key component in batteries powering cars as well as cell phones and smart watches.",ft
22,Sinochem chases $4bn lithium stake,23/10/2017,"Sinochem, China’s state chemical group, is among bidders for a $4bn stake in Chile’s SQM, one of the world’s largest producers of lithium, a key component in electric car batteries.",ft
23,Bolivia ships its first lithium to China,18/08/2016,Bolivia has made progress in its aim to become the biggest exporter of lithium with its first shipment to China.,ft
24,Czech lithium mine to help fuel Europe’s car battery demand,20/10/2017,"This month, the Czech government signed a memorandum of understanding with European Metals, the Australian mining group, to develop the large lithium resource that lies scattered under the fields around Cinovec.",ft
25,Supply challenge energises lithium trade,06/01/2017,"As the first battery cells roll off the production line at Tesla’s 1.9m square feet “gigafactory” in Nevada, a scramble is under way to secure supply of lithium , an essential ingredient.",ft
26,Batteries power Tianqi’s quest for lithium producer,29/09/2016,"China’s Tianqi Lithium is attempting to take control of the world’s biggest producer of the metal, as its use in batteries to power smartphones and electric cars fuels rapid growth in global demand.",ft
27,China’s BYD in talks over Chile lithium supply,07/04/2017,"BYD, the Chinese electric car and bus company part-owned by Warren Buffett, is talking to lithium producers in Chile about securing supplies.",ft
28,Lithium’s $5bn test Supplier stake sale electrifies buyer interest,17/02/2018,Elon Musk’s Tesla Motors has signed a three-year lithium supply deal with Australian miner Kidman Resources.,ft
29,Australia joins the rush to exploit lithium,30/11/2018,"China’s biggest producer of lithium, the battery raw material, has chosen Morgan Stanley and CLSA for a listing in Hong Kong to fund its $4.07bn purchase of a stake in Chile’s SQM, according to a prospectus.",ft
30,Lithium sector powered up by electric cars,27/07/2016,"The lithium market has received a boost after FMC planned to double its output of battery raw material lithium next year, in a sign the largest producers are increasing supply to meet demand from electric carmakers.",reuters
31,Trio of lithium IPOs will fuel debate on electric vehicles,30/08/2018,Lithium’s usage in electric car batteries has made it one of the hottest commodities of the past few years.,reuters
32,"Lithium price poised for recovery, says Tianqi boss",14/05/2019,"China’s lithium market is stabilising after a period of plummeting prices, says Vivian Wu, president of Tianqi Lithium, China’s largest producer of the raw material used in car batteries.",reuters
33,Lithium bottlenecks threaten to fuel supercycle,09/06/2017,"A year ago, Tesla founder and chief executive Elon Musk quipped that lithium was only the “salt on the salad” for the batteries that are vital to the US company’s electric cars.",reuters
34,FMC eyes next-generation batteries in lithium producer Livent’s New York IPO,29/08/2018,The New York listing of FMC Corp’s lithium business is poised to test appetite for the metal following the sell-off of this vital commodity in the manufacture of electric cars.,reuters
35,Tianqi Lithium buys into Chile’s SQM,18/05/2018,"Tianqi Lithium has paid $4.07bn for a 24 per cent stake in Chilean rival Sociedad Química y Minera, further boosting China’s influence over the global supply chain for electric car batteries.",reuters
36,BlackRock bets big on lithium’s electric-car future,16/09/2017,"BlackRock has emerged as a big backer of lithium start-ups, as the world’s largest asset manager bets on the widespread adoption of electric vehicles.",reuters
37,Buffett bets on lithium with extraction deal,21/01/2019,"Warren Buffett’s Berkshire Hathaway has made a move into lithium, signing an agreement to allow extraction of the battery mineral from its geothermal wells in California.",reuters
38,Charged atmosphere Ganfeng Lithium IPO tests investor appetite as oversupply dilutes electric car battery demand,01/10/2018,The initial public offering in Hong Kong this week of one of China’s biggest lithium producers will provide a test both of investor appetite for a metal that has been hailed as vital to the future of electric cars and a stock market hurt by global trade tensions.,reuters
39,Lithium faces $5bn test as supplier stake sale electrifies buyer interest,17/02/2018,"When Canadian fertiliser company PotashCorp acquired shares in Chile’s SQM almost 20 years ago, the latter’s lithium business appeared an afterthought.",reuters
40,Ganfeng Lithium expands into batteries as electric car stakes rise,07/07/2017,"Ganfeng Lithium, one of China’s fastest growing companies, is expanding into battery production as it seeks to prepare for the expected rapid growth in the country’s electric car market.",reuters
41,Stalled market Lithium knocked by oversupply and cut in electric-vehicle subsidy,27/08/2019,"The rise of the electric car was once a boon for the lithium industry, which produces the critical raw material for all batteries used in the vehicles.",reuters
42,Rio Tinto hails ‘eureka moment’ after large lithium discovery in California,23/10/2019,"Rio Tinto said it had found a potentially large source of lithium for electric car batteries while looking for gold in piles of waste rock in California, describing it as a “eureka moment” for the group.",reuters
43,Rosatom lines up deal for Chile lithium stake,16/10/2019,Russia’s state-run nuclear group Rosatom has signed a preliminary agreement to buy up to 51 per cent of a Chilean lithium project in return for supplies of the mineral.,reuters
44,Peru upbeat over lithium discovery but miners face challenge of excess supply,10/11/2018,"It has long been known that Latin America’s “lithium triangle” of northern Chile, northern Argentina and southern Bolivia contains some of the biggest deposits of the key electric vehicle battery ingredient on the planet, in the salt flats of the Andes and the Atacama Desert.",reuters
45,Shares of lithium producers Albemarle and SQM rattled by gloomy forecast,27/02/2018,A warning from investment bank Morgan Stanley that new supply of lithium will swamp demand for a metal that has been prized for its role in electric car batteries sent shares in its two largest producers tumbling yesterday.,reuters
46,LME looks at contract rollout for lithium,30/08/2017,"The London Metal Exchange is considering introducing a contract for lithium, which is in heavy demand because of its use in electric cars, as the 140-year-old group tries to reverse a fall in volumes.",reuters
47,Tesla in stand-off over lithium supply for factory,16/12/2015,"The mile-long, so-called Gigafactory is expected to boost demand for lithium, the raw material used in the batteries that power most electric cars.",reuters
48,Mitsui boosts Brazil’s lithium ambitions with deal to back Sigma mining project,06/04/2019,Brazil is set to emerge as a significant supplier of high-quality lithium — a raw material used in electric-car batteries — after one of the world’s biggest commodity traders agreed to back a new project in the country.,reuters
49,Tesla locked in talks with Chile’s SQM over lithium investment,30/01/2018,"Tesla is in talks with Chile’s largest lithium producer SQM about investing in supplies of the battery material, as it ramps up production of its first mass-market electric car.",reuters
50,Tracking Tesla Lithium groups follow electric-car maker’s stops and starts,10/04/2018,Lithium miners and the electric-battery makers that use the metal were already having a tricky year because of concern over excess supply.,reuters
51,Groups vie for Chile lithium project tender,17/04/2017,"Chile is set to capitalise on the global demand for electric vehicles with companies from South Korea, China, Japan and Europe bidding on manufacturing projects tied to the country’s vast reserves of lithium, a key component in batteries powering cars as well as cell phones and smart watches.",reuters
52,Sinochem chases $4bn lithium stake,23/10/2017,"Sinochem, China’s state chemical group, is among bidders for a $4bn stake in Chile’s SQM, one of the world’s largest producers of lithium, a key component in electric car batteries.",reuters
53,Bolivia ships its first lithium to China,18/08/2016,Bolivia has made progress in its aim to become the biggest exporter of lithium with its first shipment to China.,reuters
54,Czech lithium mine to help fuel Europe’s car battery demand,20/10/2017,"This month, the Czech government signed a memorandum of understanding with European Metals, the Australian mining group, to develop the large lithium resource that lies scattered under the fields around Cinovec.",reuters
55,Supply challenge energises lithium trade,06/01/2017,"As the first battery cells roll off the production line at Tesla’s 1.9m square feet “gigafactory” in Nevada, a scramble is under way to secure supply of lithium , an essential ingredient.",reuters
56,Batteries power Tianqi’s quest for lithium producer,29/09/2016,"China’s Tianqi Lithium is attempting to take control of the world’s biggest producer of the metal, as its use in batteries to power smartphones and electric cars fuels rapid growth in global demand.",reuters
57,China’s BYD in talks over Chile lithium supply,07/04/2017,"BYD, the Chinese electric car and bus company part-owned by Warren Buffett, is talking to lithium producers in Chile about securing supplies.",reuters
58,Lithium’s $5bn test Supplier stake sale electrifies buyer interest,17/02/2018,Elon Musk’s Tesla Motors has signed a three-year lithium supply deal with Australian miner Kidman Resources.,reuters
59,Australia joins the rush to exploit lithium,30/11/2018,"China’s biggest producer of lithium, the battery raw material, has chosen Morgan Stanley and CLSA for a listing in Hong Kong to fund its $4.07bn purchase of a stake in Chile’s SQM, according to a prospectus.",reuters
60,"Portugal delays lithium tender for third time, aims for early 2020",28/12/2019,"tender for lithium exploration for the third time, with the government batteries and meet an expected surge in global demand for lithium",reuters
61,RPT-Chilean lithium miner SQM dealt blow by environmental court ruling,28/12/2019,No. 2 producer of lithium.The decision by the First Environmental million planto expand its lithium carbonate production plant to feed,reuters
62,Lithium miner SQM considering options after environmental court ruling,27/12/2019,"By Aislinn Laing(Reuters) - SQM, the world´s No. 2 lithium producer million plan to expand its lithium carbonate production plant to feed",reuters
63,Chilean lithium miner SQM dealt blow by environmental court ruling,26/12/2019,producer of lithium. The decision by the First Environmental Court plan to expand its lithium carbonate production plant to feed appetite,reuters
64,Nemaska Lithium seeks creditor protection amid industry supply woes,23/12/2019,(Reuters) - Canada's Nemaska Lithium Inc said on Monday it would seek than $300 million at its flagship Whabouchi project.Lithium,reuters
65,Lithium from electronic waste can contaminate water supply,18/12/2019,"By Lisa Rapaport(Reuters Health) - Lithium from batteries that power, a Korean study suggests. Drinking water can contain a little lithium",reuters
66,Australia's Mineral Resources flags lower lithium sale price at WA project,12/12/2019,price for lithium from its Western Australiaproject for the December concentrate shipments at itsMt Marion Lithium Project has been set,reuters
67,Albemarle CEO says long-term lithium demand remains 'robust',12/12/2019,"(Reuters) - Albemarle Corp, the world's largest lithium producer defense of the company, which produces lithium in Chile and Australia",reuters
68,"Australia's Prospect Resources in talks to sell stake, lithium supply to Russia's Rosatom",11/12/2019,(Reuters) - Australian lithium developer Prospect Resources Ltd < financial terms of the potential lithium supply deal. Prospect shares,reuters
69,Chile eyes state-backed lithium push in far-flung salt flats,03/12/2019,"salt flat may get all the attention when it comes to lithium ahead with lithium projects in the region.""It seems to me, to say",reuters
70,Blackstone Minerals partners with S. Korean firm for lithium ion battery production,01/12/2019,comes amid increasing headwinds in the lithiumindustry with sales of EVs,reuters
71,Chile's SQM to decide on future of lithium holdings in Maricunga by year's end: mining minister,28/11/2019,"top lithium miner SQM to decide by year's end what it will do in lithium, Chile's mining minister told Reuters.Though Maricunga's 90",reuters
72,Chile's SQM to decide on future of lithium holdings in Maricunga by year's end - mining minister,28/11/2019,"asked toplithium miner SQM to decide by year's end what it will do in lithium, the country's mining minister told Reuters.Though",reuters
73,"Bids for mothballed Quebec lithium plant due by January, trustee says",27/11/2019,SZ> mothballed lithium plant in the Canadian province of Quebec monitor overseeing the auction said on Wednesday.Lithium is expected,reuters
74,Portugal's government under fire over controversial lithium contract,27/11/2019,a contract giving exploration rights for lithium mining to a three-day in March between Lusorecursos Portugal Lithium and the government,reuters
75,Portugal's Lusorecursos in talks to fund 400 mln euro lithium project,27/11/2019,"to explore for lithium in the country's northern region.Portugal is Europe's biggest lithium producer, but itsminers sell almost exclusively",reuters
76,"RPT-As lithium prices drop, private equity investors hunt for deals",25/11/2019,"emboldened by the lithium industry's malaise, forgingplans to invest battery metal.A more than 50 percent drop in lithium prices since",reuters
77,"As lithium prices drop, private equity investors hunt for deals",22/11/2019,"investors have grown emboldened by the lithium industry's malaise, forging in lithium prices since 2018 has unnerved industry executives, fueling cuts",reuters
78,"Lithium miner SQM dodges impacts from Chile protests, hit by lower prices",21/11/2019,">, the world's No. 2 lithium producer, said a month of violent on annual results.Chile is the world's No. 2 producer of lithium, behind",reuters
