,headline,date,snippet,source
0,Lithium sector powered up by electric cars,27/07/2016,"The lithium market has received a boost after FMC planned to double its output of battery raw material lithium next year, in a sign the largest producers are increasing supply to meet demand from electric carmakers.",ft
1,Trio of lithium IPOs will fuel debate on electric vehicles,30/08/2018,Lithium’s usage in electric car batteries has made it one of the hottest commodities of the past few years.,ft
2,"Lithium price poised for recovery, says Tianqi boss",14/05/2019,"China’s lithium market is stabilising after a period of plummeting prices, says Vivian Wu, president of Tianqi Lithium, China’s largest producer of the raw material used in car batteries.",ft
3,Chile’s buried treasure,09/07/2016,The vast salt flats of the Atacama desert hold huge reserves of lithium. So why is Chile falling behind as the market booms? By Henry Sanderson,ft
4,Lithium bottlenecks threaten to fuel supercycle,09/06/2017,"A year ago, Tesla founder and chief executive Elon Musk quipped that lithium was only the “salt on the salad” for the batteries that are vital to the US company’s electric cars.",ft
5,FMC eyes next-generation batteries in lithium producer Livent’s New York IPO,29/08/2018,The New York listing of FMC Corp’s lithium business is poised to test appetite for the metal following the sell-off of this vital commodity in the manufacture of electric cars.,ft
6,Tianqi Lithium buys into Chile’s SQM,18/05/2018,"Tianqi Lithium has paid $4.07bn for a 24 per cent stake in Chilean rival Sociedad Química y Minera, further boosting China’s influence over the global supply chain for electric car batteries.",ft
7,BlackRock bets big on lithium’s electric-car future,16/09/2017,"BlackRock has emerged as a big backer of lithium start-ups, as the world’s largest asset manager bets on the widespread adoption of electric vehicles.",ft
8,Clean energy set to drive need for reactive metal,16/12/2015,"Lithium is mostly used in glass, ceramics and lubricants — about 30 per cent of lithium supplies are currently used in batteries. Lithium salts are also used to treat depression and mood disorders.",ft
9,Buffett bets on lithium with extraction deal,21/01/2019,"Warren Buffett’s Berkshire Hathaway has made a move into lithium, signing an agreement to allow extraction of the battery mineral from its geothermal wells in California.",ft
10,Charged atmosphere Ganfeng Lithium IPO tests investor appetite as oversupply dilutes electric car battery demand,01/10/2018,The initial public offering in Hong Kong this week of one of China’s biggest lithium producers will provide a test both of investor appetite for a metal that has been hailed as vital to the future of electric cars and a stock market hurt by global trade tensions.,ft
11,Lithium faces $5bn test as supplier stake sale electrifies buyer interest,17/02/2018,"When Canadian fertiliser company PotashCorp acquired shares in Chile’s SQM almost 20 years ago, the latter’s lithium business appeared an afterthought.",ft
12,Ganfeng Lithium expands into batteries as electric car stakes rise,07/07/2017,"Ganfeng Lithium, one of China’s fastest growing companies, is expanding into battery production as it seeks to prepare for the expected rapid growth in the country’s electric car market.",ft
13,Stalled market Lithium knocked by oversupply and cut in electric-vehicle subsidy,27/08/2019,"The rise of the electric car was once a boon for the lithium industry, which produces the critical raw material for all batteries used in the vehicles.",ft
14,Rio Tinto hails ‘eureka moment’ after large lithium discovery in California,23/10/2019,"Rio Tinto said it had found a potentially large source of lithium for electric car batteries while looking for gold in piles of waste rock in California, describing it as a “eureka moment” for the group.",ft
15,Rosatom lines up deal for Chile lithium stake,16/10/2019,Russia’s state-run nuclear group Rosatom has signed a preliminary agreement to buy up to 51 per cent of a Chilean lithium project in return for supplies of the mineral.,ft
16,Betting on batteries,30/11/2018,"Better known for exporting highly polluting coal and iron ore, Australia is now at the forefront of a green energy revolution. But with lithium prices falling, does it risk missing out on the electric vehicle boom?",ft
17,Peru upbeat over lithium discovery but miners face challenge of excess supply,10/11/2018,"It has long been known that Latin America’s “lithium triangle” of northern Chile, northern Argentina and southern Bolivia contains some of the biggest deposits of the key electric vehicle battery ingredient on the planet, in the salt flats of the Andes and the Atacama Desert.",ft
18,Shares of lithium producers Albemarle and SQM rattled by gloomy forecast,27/02/2018,A warning from investment bank Morgan Stanley that new supply of lithium will swamp demand for a metal that has been prized for its role in electric car batteries sent shares in its two largest producers tumbling yesterday.,ft
19,LME looks at contract rollout for lithium,30/08/2017,"The London Metal Exchange is considering introducing a contract for lithium, which is in heavy demand because of its use in electric cars, as the 140-year-old group tries to reverse a fall in volumes.",ft
20,Tesla in stand-off over lithium supply for factory,16/12/2015,"The mile-long, so-called Gigafactory is expected to boost demand for lithium, the raw material used in the batteries that power most electric cars.",ft
21,Powering the battery supply chain,23/05/2019,"In the space of a few years China has become the biggest producer of lithium, a key raw material for batteries in electric cars. The US and Europe fear they could be pushed out of a fast-growing industry.By Henry Sanderson",ft
22,CHILE’S BURIED TREASURE,09/07/2016,"Yet these conditions also make it one of the best places in the world to extract lithium, a soft, volatile metal that is found in the Earth’s crust.",ft
23,Mitsui boosts Brazil’s lithium ambitions with deal to back Sigma mining project,06/04/2019,Brazil is set to emerge as a significant supplier of high-quality lithium — a raw material used in electric-car batteries — after one of the world’s biggest commodity traders agreed to back a new project in the country.,ft
24,Tesla locked in talks with Chile’s SQM over lithium investment,30/01/2018,"Tesla is in talks with Chile’s largest lithium producer SQM about investing in supplies of the battery material, as it ramps up production of its first mass-market electric car.",ft
25,Tracking Tesla Lithium groups follow electric-car maker’s stops and starts,10/04/2018,Lithium miners and the electric-battery makers that use the metal were already having a tricky year because of concern over excess supply.,ft
26,Groups vie for Chile lithium project tender,17/04/2017,"Chile is set to capitalise on the global demand for electric vehicles with companies from South Korea, China, Japan and Europe bidding on manufacturing projects tied to the country’s vast reserves of lithium, a key component in batteries powering cars as well as cell phones and smart watches.",ft
27,Sinochem chases $4bn lithium stake,23/10/2017,"Sinochem, China’s state chemical group, is among bidders for a $4bn stake in Chile’s SQM, one of the world’s largest producers of lithium, a key component in electric car batteries.",ft
28,Bolivia ships its first lithium to China,18/08/2016,Bolivia has made progress in its aim to become the biggest exporter of lithium with its first shipment to China.,ft
29,Czech lithium mine to help fuel Europe’s car battery demand,20/10/2017,"This month, the Czech government signed a memorandum of understanding with European Metals, the Australian mining group, to develop the large lithium resource that lies scattered under the fields around Cinovec.",ft
30,Supply challenge energises lithium trade,06/01/2017,"As the first battery cells roll off the production line at Tesla’s 1.9m square feet “gigafactory” in Nevada, a scramble is under way to secure supply of lithium , an essential ingredient.",ft
31,Batteries power Tianqi’s quest for lithium producer,29/09/2016,"China’s Tianqi Lithium is attempting to take control of the world’s biggest producer of the metal, as its use in batteries to power smartphones and electric cars fuels rapid growth in global demand.",ft
32,China’s BYD in talks over Chile lithium supply,07/04/2017,"BYD, the Chinese electric car and bus company part-owned by Warren Buffett, is talking to lithium producers in Chile about securing supplies.",ft
33,Electric car trade likely to lose power,12/12/2017,Subsidy doubts and battery advances weigh on lithium and cobalt miners after surge,ft
34,SPEED READ,30/11/2018,"Opening up Six lithium mines have opened in Western Australia since 2016, with A$3bn invested in refineries",ft
35,Carmakers race to secure battery raw materials,26/02/2018,Electric vehicle manufacturers need reliable supplies of lithium and cobalt but prices are up amid an uncertain future,ft
36,Tail Risk,11/09/2019,"Battery metal bulls suddenly have more to cheer about. Volkswagen has launched the ID.3, a mass-market hatchback that symbolises the potential demand for the lithium that powers its battery, and China’s Contemporary Amperex Technology (CATL) has bought an 8.5 per cent stake in Australian lithium miner Pilbara Minerals.",ft
37,Lithium’s $5bn test Supplier stake sale electrifies buyer interest,17/02/2018,Elon Musk’s Tesla Motors has signed a three-year lithium supply deal with Australian miner Kidman Resources.,ft
38,Australia joins the rush to exploit lithium,30/11/2018,"China’s biggest producer of lithium, the battery raw material, has chosen Morgan Stanley and CLSA for a listing in Hong Kong to fund its $4.07bn purchase of a stake in Chile’s SQM, according to a prospectus.",ft
39,Tesla signs deal with Australia’s Kidman Resources,18/05/2018,Lithium overload Chinese companies disrupted a market controlled by Chile’s SQM and Albemarle and FMC of the US,ft
40,Tianqi readies HK listing ahead of SQM deal,21/08/2018,"For more than a century, Western Australia has yielded a lucrative bounty for gold and iron ore miners. Now, a battery revolution driven by the transition to electric vehicles and energy storage systems is creating a rush to exploit its reserves of lithium, cobalt and nickel.",ft
41,Speed read,23/05/2019,"Elsewhere, such as in the UK, diesel-car demand has slowed. In turn, this shift has refocused attention on low or zero-emission electric vehicles. Those electric vehicles require batteries, and prices of their key inputs — lithium, cobalt, lead and nickel — have soared.",ft
42,BHP energised to exploit new battery revolution,10/08/2017,Good supply Access to a good supply of raw materials from cobalt to lithium is crucial for Chinese battery makers,ft
43,Short View,18/01/2018,"President Donald Trump has called for an end to US reliance on foreign sources of “critical minerals” such as the battery metals lithium and cobalt, in a sweeping move that could be a boon to domestic mining companies.",ft
44,Speed read,06/03/2017,"The second is Aim-quoted Bacanora Minerals, which has heady plans to supply enough lithium to meet a tenth of global demand.",ft
45,US to boost domestic critical mineral supply,22/12/2017,"Lithium, cobalt and nickel prices soar",ft
46,Intoxicating Bacanora aims to give mineral investors a happy buzz,05/09/2016,"How China became the world’s supplier of lithium — BIG READ, PAGE 7",ft
47,Battery power spurs race for raw materials,24/10/2017,Company Turnover Pre-tax EPS(p) Div(p) Pay day TotalBacanora Lithium Pre 0.000 0.000 11.054L 12.846L 0.080L 0.090L0.00000 0.00000 - 0.000 0.000Bioventix Pre 9.290 8.752 6.965 6.867 114.040 110.2100.00000 36.00000 - 30.000 61.000,ft
48,Batteries included,23/05/2019,Company Turnover Pre-tax EPS(p) Div(p) Pay day TotalBacanora Lithium Int 0.000 0.000 4.291L 3.310L 0.030L 0.030L0.00000 0.00000 - 0.000 0.000Celtic Int 50.015 71.505 18.799 19.510 16.220 18.5700.00000 0.00000 - 0.000 0.000,ft
49,UK COMPANY RESULTS,22/10/2019,"Electric car batteries rely on a host of materials — from lithium to nickel, cobalt and graphite — while some cars also use motors that require rare earths.",ft
50,UK COMPANY RESULTS,14/02/2019,"But there has been little research on the environmental impact from the mining of lithium, nickel and cobalt, which are blended with manganese to form the battery cathode in most electric vehicles.",ft
51,Electric race spurs battery makers to dig deeper,24/10/2017,Mahindra e20 (European model) Length: 3.3m Range: 79 miles Top speed: 63mph 0-50mph: 18 seconds Power source: lithium ion battery,ft
52,Question marks over environmental impact,11/07/2017,"The US and allied countries have launched an international effort to encourage responsible development of materials for new energy technologies, such as lithium, copper and cobalt, as they try to ensure supplies of key resources.",ft
53,Mahindra e20 v G-Wiz,18/07/2016,"at multiyear lows, the raw materials used in smartphones, electric cars and 3D printers — among them lithium, graphite and cobalt for use in batteries",ft
54,US and allies tackle metals shortage concerns,12/06/2019,Metals in demand Bigger EVs require larger amounts of lithium and cobalt for their batteries,ft
55,Material revolution,09/12/2015,"As she stepped up to the microphone at Cadogan Hall to introduce a cover of Nirvana’s “Lithium”, her sister Allison Moorer warned that she had no idea what Lynne was going to say.",ft
56,Speed read,09/11/2017,"If the past month has been a horror story for Samsung Electronics, the past 48 hours have been no less nightmarish for TDK — the Japanese company that produces lithium ion batteries for smartphone manufacturers around the world and whose biggest customer is Apple.",ft
57,Reviews,03/02/2018,Chile’s buried treasure12 Lithium could be the whitepetroleum of the future – and,ft
58,Battery maker TDK left drained by device recall,12/10/2016,"Solid-state batteries offer a step change beyond the current liquid lithium ion technology, with the ability to hold more power and charge faster.",ft
59,INDEX,09/07/2016,Wesfarmers/lithium: stored value,ft
60,Franco-Japan alliance steps up battery pace,13/03/2018,"This has led them to buy stakes in copper, cobalt and lithium assets in countries as far afield as the Democratic Republic of Congo, Serbia and Chile.",ft
61,Lex.,03/05/2019,"The production of lithium, a key ingredient for batteries in electric cars as well as smartphones, is controlled by just five companies.",ft
62,Chinese groups go where western rivals fear to tread,25/01/2019,"As the mining sector presents a green face and extracts raw materials, from lithium to cobalt and nickel, that constitute electric batteries, so the focus on their environmental standards and energy efficient production methods will intensify.",ft
63,Metals are the new black gold as race to control battery resources turns geopolitical,23/05/2018,"resources such as lithium, used in batteries that power everything from phones to cars, make it an attractive target for China’s efforts to extend its reach.",ft
64,Electric car growth sparks green concerns,07/07/2017,"Shenzhen-based lithium battery maker BAK Power has filed a civil suit for breach of contract over outstanding payments, seeking to freeze more than Rmb40m ($5.6m) in assets of Zhejiang province-based Zotye Automobile and three subsidiaries, according to a filing on the Shenzhen Longgang District People’s Court website.",ft
65,China’s ambitious investment push into Chile reflects shift in region’s political winds,26/02/2019,"Matthey last year announced plans to invest £200m in commercialising a cathode material known as enhanced lithium nickel oxide, or eLNO, which it says has a much higher energy density",ft
66,Ford’s Chinese electric car partner faces lawsuit over unpaid supplier bills,16/10/2019,"Backed by Albemarle, one of the world’s largest lithium producers, and US utility Exelon, the fund’s ambition is to invest in those companies whose battery technologies will triumph in the global battle to dominate electric cars and energy storage.",ft
67,Johnson Matthey buoyed by electric cars projection,17/01/2018,"Ingredients in the batteries used in electric vehicles, cobalt and lithium, have had stellar years.",ft
68,Volta joins battle for battery breakthrough,11/01/2018,"As well as Beijing’s high-profile backing of its domestic battery industry, much of Japan’s urgency, say lithium experts, is driven by the assumption that the fundamental dynamics of the lithium market are poised to change: batteries are about to overtake all other industrial users of the metal as the...",ft
69,What to watch in metals during the coming year,22/12/2017,"Your report on Chile’s reserves of lithium (“Chile’s Buried treasure”, July 9/10) was great, but I would quibble with those who call lithium “white petroleum”. Lithium is",ft
70,Japan prepares for a fight it cannot afford to lose,06/03/2017,"The Pallinghurst-Traxys Battery Materials joint venture will look to take controlling stakes in lithium, graphite and cobalt projects in developed countries and invest in associated facilities that process and improve ore.",ft
71,REPLY,16/07/2016,"The switch will be powered by vehicle batteries, promoted from mere backups to primary power sources. The strain on resources may be huge. Cumulative consumption of lithium, a vital battery material, would total 50m tonnes by 2050 according to a maximal projection",ft
72,Ex-BHP boss to pump $2bn into battery materials mine projects,13/11/2019,"Until they are widely recycled they will rely on cobalt from the Democratic Republic of Congo, lithium from South America and Australia, and copper from Mongolia.",ft
73,Electric vehicles: assault with battery,27/07/2017,", 14 12 Lithium Lear.........",ft
74,Miners plug into electric car story to win green investors,30/06/2017,"Golden Globe Awards, by China’s Dalian Wanda was officially canned this month. Similarly the sale to a Chinese buyer of a lithium project in Mali was scrapped in January when capital proved hard to export.",ft
75,Companies / Sectors / People,09/06/2017,"years, there may only be 10 lithium battery producers left, with the top three taking 60 per cent of the market.”",ft
76,Look elsewhere,16/03/2017,"US and European officials fear that control of the battery market, as well as the associated lithium hydroxide and precursor sectors, could give rivals such as China an edge when it comes to making the next generation of electronic vehicles.",ft
77,Battery power,06/03/2017,"Among the companies already making plans to be a part of the global shift to electric cars is Bacanora Minerals, a London-listed junior miner with rights to lithium mining sites in Mexico and the German-Czech border.",ft
78,The global fight to power a cleaner world,30/11/2018,"“It is more strategic than cobalt, more strategic than lithium. You can’t replace copper on conductivity. It is a modern metal,” he said.",ft
79,Volvo sets date for switching off petrol engines,06/07/2017,"Mr Prince, a campaign adviser to President Donald Trump and brother of US education secretary Betsy DeVos, aims to raise up to $500m to invest in the supply of metals such as cobalt, copper and lithium that are needed for batteries.",ft
80,Barrick chief eyes moves for ‘strategic’ copper,11/11/2019,"Attention has already been drawn to how lithium ion batteries require cobalt, the biggest reserves of which are in the Democratic Republic of Congo.",ft
