idx,headline,date,snippet,source
1,Batteries and Renewable Energy Set to Grow Together,20/04/2015,As sun and wind become bigger parts of the electricity mix scientists are pushing to increase the capacity of battery storage.,The New York Times
2,Video Review: The VW Jetta Hybrid Offers Fuel-Efficient Fun,22/04/2015,When it comes to hybrids Toyota owns the market with the Prius but the Volkswagen is an alternative for those looking for more performance.,The New York Times
3,Liquid Batteries for Solar and Wind Power ,22/04/2015,So-called flow batteries can provide energy steadily over time and last much longer than other types of storage.,The New York Times
4,F.A.A. Orders Fix for Possible Power Loss in Boeing 787,30/04/2015,The Federal Aviation Administration said operators of the Dreamliner jet were to shut down power periodically after a software problem was found.,The New York Times
5,Tesla Ventures Into Solar Power Storage for Home and Business,01/05/2015,Tesla Motors says it is making a foray into the challenge of how to use the sun’s energy when it isn’t shining with a fleet of battery systems for homeowners businesses and utilities.,The New York Times
6,With Tesla Entering Market Hopes for Home Batteries Grow,13/05/2015,For now home batteries remain a novelty. The market is poised for growth though after Tesla Motors said it would offer batteries at a lower price.,The New York Times
7,Afghan Minerals Another Failure,27/05/2015,In the war-ravaged country development is lagging and American aid is being squandered.,The New York Times
8,Vincent Bolloré’s Long Bet on Solid-State Batteries for Electric Cars,12/06/2015,A popular but unprofitable electric-car-sharing business in Paris is expanding in Europe and America but it’s really a bet on besting lithium-ion batteries.,The New York Times
9,Traces of Earliest Stars That Enriched Cosmos Are Spied,17/06/2015,Astronomers said a recently discovered galaxy known as CR7 holds the signature of a lost generation of stars that created the elements needed for life.,The New York Times
10,‘I Don’t Believe in God but I Believe in Lithium’,25/06/2015,My 20-year struggle with bipolar disorder.,The New York Times
11,Video Review: BMW i8 Is a Futuristic Hybrid That Drives Like a Rocket,07/07/2015,This plug-in has an all-electric range of 22 miles but it also has a turbocharged 1.5-liter gasoline engine which helps propel the car to 60 m.p.h. in 4 seconds.,The New York Times
12,Video Review: Honda Takes Different Path With the Accord Hybrid,29/07/2015,The Accord has the appearance of gas-only models but inside is a lithium-ion battery and a gas-electric system that is unlike other hybrids.,The New York Times
13, Theory on Lithium in Stars May Be Confirmed,03/08/2015,Lithium has been found in material ejected by a nova or a stellar explosion for the first time. That may confirm the theory that lithium in young stars came from novae.,The New York Times
14,Hybrid-Powered Megayachts Come With Green Bragging Rights,22/08/2015,The wealthy want to show and sometimes show off their commitment to the environment even as they build ever bigger mansions jets and yachts.,The New York Times
15,Porsche Aiming at Tesla Unveils Electric Concept Car,15/09/2015,The planned luxury performance sedan has 600 horsepower and can reach 60 miles an hour in under 3.5 seconds Porsche says. Top speed is 155 miles an hour.,The New York Times
16,Energy Storage Industry Gaining Momentum,26/10/2015,Despite decades of public and private research and investment the storage industry has struggled to take off though there are signs that this may be changing.,The New York Times
17,Robert Neugeboren Survivor of Psychiatric Abuses Dies at 72,31/10/2015,Mr. Neugeboren was hauled away in a straitjacket in his late teens and spent most of his adult life in institutions.,The New York Times
18,F.B.I. to Help Russia Investigate Plane Crash in Egypt,07/11/2015,Some American officials said that the Russians want help analyzing forensic evidence from the charter plane that broke apart over the Sinai Peninsula killing 224 people.,The New York Times
19,Gaps in Egyptian Airport Security Face Scrutiny After Crash,07/11/2015,Inconsistencies in airport security in Egypt are now under a spotlight as evidence from the crash of a Russian charter jet points to the possibility of a bombing.,The New York Times
20,How to Upgrade Your Thanksgiving Road Trip,09/11/2015,From a plug-in espresso machine to an organizer for toys and gadgets accessories to make your trip go smoother.,The New York Times
21,The Doomsday Scam,19/11/2015,For decades aspiring bomb makers — including ISIS — have desperately tried to get their hands on a lethal substance called red mercury. There’s a reason that they never have.,The New York Times
