,headline,date,snippet,source
0,METALS-London aluminium falls after Hydro restarts Brazil operations,29/12/2019,"* LITHIUM: SQM, the world's No. 2 lithium producer, said onFriday",reuters
1,"Portugal delays lithium tender for third time, aims for early 2020",28/12/2019,"tender for lithium exploration for the third time, with the government batteries and meet an expected surge in global demand for lithium",reuters
2,RPT-Chilean lithium miner SQM dealt blow by environmental court ruling,28/12/2019,No. 2 producer of lithium.The decision by the First Environmental million planto expand its lithium carbonate production plant to feed,reuters
3,Lithium miner SQM considering options after environmental court ruling,27/12/2019,"By Aislinn Laing(Reuters) - SQM, the world´s No. 2 lithium producer million plan to expand its lithium carbonate production plant to feed",reuters
4,Chilean lithium miner SQM dealt blow by environmental court ruling,26/12/2019,producer of lithium. The decision by the First Environmental Court plan to expand its lithium carbonate production plant to feed appetite,reuters
5,Nemaska Lithium seeks creditor protection amid industry supply woes,23/12/2019,(Reuters) - Canada's Nemaska Lithium Inc said on Monday it would seek than $300 million at its flagship Whabouchi project.Lithium,reuters
6,Disruptive decade: Ten things the teen years brought world markets,23/12/2019,", lithium, could triple by 2025.EV sales so far have disappointed -- two",reuters
7,GRAPHIC-Disruptive decade: Ten things the teen years brought world markets,23/12/2019,",lithium, could triple by 2025.EV sales so far have disappointed -- two",reuters
8,China Minmetals sets up graphite unit in battery materials push,19/12/2019,"to make a key component, known as the anode, of lithium-ion batteries such as lithium, nickel and manganese.The new venture, known",reuters
9,IBM's new battery design taps seawater as alternative mineral source,18/12/2019,"battery makers scramble to reduce cobalt content in lithium-ion lithium-ion batteries in cost, charging time and energy efficiency",reuters
10,Australia's Clean TeQ to supply rare earths metal to Panasonic unit,18/12/2019,and lithium batteries - on any single country to 50% or less by 2025. It also,reuters
11,RPT-COLUMN-Unexpected bump on the EV road hits battery metals: Andy Home,18/12/2019,"are those of the author, a columnist for Reuters)* Lithium prices sink: https dissipated over thecourse of 2019.Two years ago the spot lithium price",reuters
12,Lithium from electronic waste can contaminate water supply,18/12/2019,"By Lisa Rapaport(Reuters Health) - Lithium from batteries that power, a Korean study suggests. Drinking water can contain a little lithium",reuters
13,COLUMN-Unexpected bump on the EV road hits battery metals: Andy Home,18/12/2019,for Reuters.)* Lithium prices sink: https://tmsnrt.rs/35zK6Dc* Cobalt years ago the spot lithium price in China was $26 perkilogram. Today,reuters
14,Australia's commodity exports to hit record $281 bln in 2019-2020,18/12/2019,"and lithium as global economic growth deteriorated.""In 2019, global",reuters
15,"Hitachi to sell chemical unit, medical equipment business for $6 billion",18/12/2019,"of materials for semiconductors, displays and lithium-ion batteries",reuters
16,Hitachi to sell chemical unit to Showa Denko for $4.55 bln,18/12/2019,"forsemiconductors, displays and lithium-ion batteries.($1 = 108.6400 yen",reuters
17,CANADA STOCKS-Energy gains help TSX shrug off weak start,17/12/2019,"AuroraCannabis, Touchstone Exploration and NemaskaLithium.* The TSX",reuters
18,Japan industry ministry gets $423 million extra budget to strengthen resource policy,17/12/2019,"are used in electric vehicles and lithium batteries, its budget",reuters
19,Japan industry ministry gets $423 mln extra budget to strengthen resource policy,17/12/2019,", which are used in electric vehiclesand lithium batteries, its budget",reuters
20,"Tesla, Apple among firms accused of aiding child labor in Congo",17/12/2019,Cobalt is essential in making rechargeable lithium batteries used,reuters
21,"REFILE-Tesla, Apple among firms accused of aiding child labor in Congo",16/12/2019,lithium batteriesused in millions of products sold by the tech industry,reuters
22,Australia's Mineral Resources flags lower lithium sale price at WA project,12/12/2019,price for lithium from its Western Australiaproject for the December concentrate shipments at itsMt Marion Lithium Project has been set,reuters
23,Long wait seen for electric planes despite historic first flight,12/12/2019,Foundation.The lithium battery used in the Canadian flight could only power,reuters
24,Albemarle CEO says long-term lithium demand remains 'robust',12/12/2019,"(Reuters) - Albemarle Corp, the world's largest lithium producer defense of the company, which produces lithium in Chile and Australia",reuters
25,"Australia's Prospect Resources in talks to sell stake, lithium supply to Russia's Rosatom",11/12/2019,(Reuters) - Australian lithium developer Prospect Resources Ltd < financial terms of the potential lithium supply deal. Prospect shares,reuters
26,Indonesia targets starting up EV battery plants in 2023,10/12/2019,"JAKARTA (Reuters) - Indonesia is aiming to start making lithium to build lithium battery plants in Indonesia,"" Pandjaitan told",reuters
27,Brooklyn gets New York's biggest battery park from Italy's Enel,09/12/2019,developed a 4.8-megawatt lithium ion battery system near a shopping center,reuters
28,Australia-listed Novonix in battery anode supply deal with Samsung SDI,09/12/2019,Samsung SDI Co with synthetic graphiteanode material for lithium-ion,reuters
29,"Fix climate crisis because Earth is all we've got, Physics Nobel prize winner says",07/12/2019,"the lithium-ion battery, said a pragmatic approach was needed in mind,"" he said at the same event. ""I think lithium batteries",reuters
30,"GM, LG Chem to build $2.3 billion electric vehicle battery plant in Ohio",05/12/2019,"of Piedmont Lithium Ltd , which is developing a lithium mine near Charlotte, North Carolina. Lithium is a key material in EV batteries",reuters
31,RPT-COLUMN-Nickel bubble deflates but a bear trap may be opening: Andy Home,05/12/2019,be on the electric vehicle (EV) investmentgrid because of its use in lithium-ion,reuters
32,COLUMN-Nickel bubble deflates but a bear trap may be opening: Andy Home,05/12/2019,be on the electric vehicle (EV) investmentgrid because of its use in lithium-ion,reuters
33,Chile eyes state-backed lithium push in far-flung salt flats,03/12/2019,"salt flat may get all the attention when it comes to lithium ahead with lithium projects in the region.""It seems to me, to say",reuters
34,Blackstone Minerals partners with S. Korean firm for lithium ion battery production,01/12/2019,comes amid increasing headwinds in the lithiumindustry with sales of EVs,reuters
35,Portugal's students march for climate as Greta visit delayed,29/11/2019,"""On the contrary, a new airport, lithium mines and bigger ports",reuters
36,Australia's Alita Resources plans for loan to repay largest shareholder,29/11/2019,(Reuters) - Lithium miner Alita Resources Ltd's  < until there is an update on the company's review.Lithium prices have,reuters
37,Chile's SQM to decide on future of lithium holdings in Maricunga by year's end: mining minister,28/11/2019,"top lithium miner SQM to decide by year's end what it will do in lithium, Chile's mining minister told Reuters.Though Maricunga's 90",reuters
38,Chile's SQM to decide on future of lithium holdings in Maricunga by year's end - mining minister,28/11/2019,"asked toplithium miner SQM to decide by year's end what it will do in lithium, the country's mining minister told Reuters.Though",reuters
39,"Bids for mothballed Quebec lithium plant due by January, trustee says",27/11/2019,SZ> mothballed lithium plant in the Canadian province of Quebec monitor overseeing the auction said on Wednesday.Lithium is expected,reuters
40,Portugal's government under fire over controversial lithium contract,27/11/2019,a contract giving exploration rights for lithium mining to a three-day in March between Lusorecursos Portugal Lithium and the government,reuters
41,Portugal's Lusorecursos in talks to fund 400 mln euro lithium project,27/11/2019,"to explore for lithium in the country's northern region.Portugal is Europe's biggest lithium producer, but itsminers sell almost exclusively",reuters
42,Japan's Hitachi nears deal to sell chemical unit to Showa Denko: Nikkei,25/11/2019,", displays and lithium-ion batteries. (Reporting by Arunima Kumar",reuters
43,CANADA STOCKS-TSX set to break 5-day losing streak on improving trade sentiment,25/11/2019,"heavily traded shares by volume were Husky Energy, Nemaska Lithium",reuters
44,"RPT-As lithium prices drop, private equity investors hunt for deals",25/11/2019,"emboldened by the lithium industry's malaise, forgingplans to invest battery metal.A more than 50 percent drop in lithium prices since",reuters
45,"As lithium prices drop, private equity investors hunt for deals",22/11/2019,"investors have grown emboldened by the lithium industry's malaise, forging in lithium prices since 2018 has unnerved industry executives, fueling cuts",reuters
46,"Lithium miner SQM dodges impacts from Chile protests, hit by lower prices",21/11/2019,">, the world's No. 2 lithium producer, said a month of violent on annual results.Chile is the world's No. 2 producer of lithium, behind",reuters
47,Lithium miner SQM says no economic impact yet from Chile protests,21/11/2019,"SANTIAGO (Reuters) - Chilean miner SQM, the world's No. 2 lithium",reuters
48,"Chile's SQM profits plunge in Q3 as lithium prices, demand growth fall short",21/11/2019,"of lithium, said its profits had plungedagain in the third quarter",reuters
49,BMW orders more than 10 billion euros' worth of battery cells,21/11/2019,the lithium from mines including in Australia.BMW plans to have 25 electrified,reuters
50,Deals of the day-Mergers and acquisitions,20/11/2019,agreement that would giveCEZ a 51% stake in the Cinovec lithium,reuters
51,ASIA COPPER WEEK-LME plans to launch several contracts in 2020 -CEO,20/11/2019,"lithium contract inthe second quarter of 2020, Chamberlain said, after.Chamberlain said the lithium contract launch is ""likely tobe Q2 2020",reuters
52,"CEZ, European Metals in conditional agreement over lithium project stake",20/11/2019,"% stake in the Cinovec lithiumproject, the companies said on Wednesday to the Cinoveclithium/tin project in the Czech Republic, which it says",reuters
53,LME weighs several contract launches in 2020 - CEO,20/11/2019,on Wednesday.The LME is also likely to launch its lithium contract,reuters
54,CORRECTED-Australia signs critical minerals research agreement with U.S,19/11/2019,"of elements such as lithium,cobalt and neodymium used in high tech",reuters
55,French and Benelux stocks-Factors to watch,19/11/2019,"in South Australia, theworld's largest lithium ion battery, by 50",reuters
56,Indonesia hopes for environmental nod soon for battery-grade nickel plants,18/11/2019,"rule to allow the import of used lithium battery components imports of used lithium batteries, but he said the new rule would allow",reuters
57,Neoen to expand world's largest lithium ion battery in Australia,18/11/2019,", the world's largest lithium ion battery, by 50% to help improve",reuters
58,France's Neoen announces 50% rise in Australia Hornsdale battery capacity,18/11/2019,"in South Australia, the world's largestlithium ion battery project",reuters
59,Airbus-backed tournament unveils first electric racing aircraft,18/11/2019,Lithium batteries installed under the fuselage of the plane,reuters
60,CORRECTED-Airbus-backed tournament unveils first electric racing aircraft,18/11/2019,said.Lithium batteries installed under the fuselage of the plane,reuters
61,Sumitomo Metal says on track for FID on Pomalaa nickel project by end-March,18/11/2019,)cathodematerials used in Panasonic Corp's lithium-ion battery,reuters
62,"REFILE-Australia's Galaxy Resources to cut costs, volumes at flagship mine",17/11/2019,") - Australian lithium miner Galaxy Resourceson Monday said%, while forecasting lower output forthe full year.Australian lithium",reuters
63,Eramet CEO says plans FID on Argentina lithium project in Q1 2020,15/11/2019,"lithium development project inArgentina, with an aim to start to produce 3,000 tonnes of battery-gradelithium carbonate in 2021",reuters
64,"Hit by drought and power cuts, Zimbabwe steps up battery storage",15/11/2019,"“For Tesla lithium-ion battery installations at our base station and sites, we Management Department.“Lithium-ion batteries can alleviate power shortages",reuters
65,Argentina's lithium producers hopeful as Fernandez set to take power,15/11/2019,"lithiumproducers are cautiously optimistic that President-elect Alberto for several industries, including lithium,limitations that slowed",reuters
