idx,headline,date,source
1,Rio Tinto puts Serbia lithium mine on hold,24/12/2021,The Guardian
2,Britishvolt and Glencore to build plant capable of recycling lithium-ion batteries,03/02/2022,The Guardian
3,‘Gone ballistic’: lithium price rockets nearly 500% in a year amid electric vehicle rush,09/02/2022,The Guardian
4,Rio Tinto’s past casts a shadow over Serbia’s hopes of a lithium revolution,19/11/2021,The Guardian
5,In search of ‘Lithium Valley’: why energy companies see riches in the California desert,27/09/2021,The Guardian
6,Fitbit recalls 1.7m Ionic smartwatches because of ‘burn hazard’,02/03/2022,The Guardian
7,The rush to ‘go electric’ comes with a hidden cost: destructive lithium mining | Thea Riofrancos,14/06/2021,The Guardian
8,Britain’s electric dreams will never come true while China has a materials advantage | John Naughton,09/07/2022,The Guardian
9,Volt Rush by Henry Sanderson review – creating a clean energy world is possible,17/07/2022,The Guardian
10,Northvolt rolls out Europe’s first ‘gigafactory-era’ car battery,29/12/2021,The Guardian
11,A cut-and-paste attack on electric vehicle batteries and renewables is spanning the globe. But is it right? | Temperature Check,30/03/2022,The Guardian
12,UK flight schools hire instructors for electric aircraft as fuel prices bite,21/06/2022,The Guardian
13,UK manufacturers face higher costs as Ukraine crisis hits supply chains,01/03/2022,The Guardian
14,Here’s why Australia’s reliance on commodities is unhealthy | Satyajit Das,13/06/2022,The Guardian
15,‘Real beacon’: Australian company developing zinc-bromide battery technology lists for $285m,25/11/2021,The Guardian
16,Ship carrying luxury cars sinks near Azores Islands after burning for weeks,02/03/2022,The Guardian
17,Abandoned burning ship ‘had $400m cargo of luxury cars’,21/02/2022,The Guardian
18,The billionaire and the Bolivian train cemetery: bold epic Rare Earth Mettle,02/11/2021,The Guardian
19,Battery power: five innovations for cleaner,26/11/2021,The Guardian
20,UK must boost recycling of materials for green industries,19/11/2021,The Guardian
21,Lithium find in Cornwall spurs hopes of regeneration,17/09/2020,The Guardian
22,Indigenous tribes tried to block a car battery mine. But the courts stood in the way,15/10/2021,The Guardian
23,The Welsh-speaking pigeons of Languedoc | Brief letter,15/06/2021,The Guardian
24,Here’s how to solve the UK energy crisis for the long term – store more power,10/01/2022,The Guardian
25,Millions of electric car batteries will retire in the next decade. What happens to them?,20/08/2021,The Guardian
26,Electric cars touted to recharge Australian manufacturing sector,07/02/2022,The Guardian
27,Small investors pile in to crowdfunder to mine lithium in Cornwall,13/10/2020,The Guardian
28,Rare Earth Mettle review – secret deals and wordy debates,17/11/2021,The Guardian
29,Grenfell Tower witnesses among people evacuated from fire in nearby block ,21/06/2022,The Guardian
30,Corrections and clarifications,02/01/2022,The Guardian
31,Afghanistan is facing a climate calamity – it’s time the world took notice | Shadi Khan Saif,25/07/2022,The Guardian
32,UK consortium enters race to build solid-state batteries for electric cars,19/08/2021,The Guardian
33,Breaking it down: how green is that luxury electric SUV?,25/01/2022,The Guardian
34,Corrections and clarifications,23/11/2021,The Guardian
35,Big Oil V the World review – how can these climate crisis deniers sleep at night?,21/07/2022,The Guardian
